en,ha
"Make the holy heart of the Imam of the Age satisfied with us, and make us benefit from his prayers.",Ka sanya zuciyar Waliyul Asr mai tsarki ta yarda da mu sannan kuma ka sanya mu cikin addu'ar wannan mai girman.
I had the opportunity to meet him many times in his home in Kermanshah and exchange views with him.,Ni dai na sami damar ganawa da shi a gidansa a Kermanshah a lokuta da dama; mu zauna mu biyu da shi mu tattauna a tsakaninmu.
The most honorable and powerful people are those who refuse to give in to temptation.,Mafi daukaka da girman mutane su ne wadanda ba su bari wadannan bukatu suka kaskantar da su ba.
"We learned this from our Imam, and this has been the clear path of the Islamic Republic up until now.",Wannan lamari ne da muka koye shi daga wajen Imam. Sannan hakan kuma shi ne tafarkin tsarin Jamhuriyar Musulunci tun daga farko har zuwa yau din nan.
Allah's grace be upon the immaculate souls of our magnanimous Imam and our martyrs.,Rahamar Allah ta tabbata ga ruhin mai tsarki na Imaminmu mai girma (Imam Khumaini) da kuma ruhin shahidai.
"Copying books was difficult, but people who loved and needed books made a lot of efforts in this regard.","Kwafan littafan da aka rubuta su lamari ne mai wahala, to amma duk da hakan akwai wadansu mutane wadanda ma'abota hakan ne, sun kasance wadanda suka dace wajen amfani da littafi, sun kasance masu iyakacin kokarinsu."
This is completely clear to anybody who has read the history of the Renaissance and anybody who has become familiar with the people of that era.,Duk wanda ya karanta tarihin ci gaban ilimi (a Turai) da kuma fahimtar mutanensu a fili zai ga wannan lamarin.
Shia and Sunni scholars of Islamic and Arab countries should clarify for everyone the evil intentions which the enemies pursue through establishing and supporting sectarian terrorism.,Wajibi ne ga 'yan shi'a da sunni a cikin dukkan kasashen musulmi da na larabawa su zama masu yin bayani akan bakar siyasar makiya wacce ta ke son karfafa ayyukan ta'addanci da kuma sabani na mazhaba.
"Anybody who knows what efforts the enemies made during the past few months in order to discourage the people from voting on the 12th of Esfand, anybody who knows how much money they spent, anybody who knows how many people they recruited, anybody who knows how many plots they designed, anybody who knows how hard they tried in their think tanks to influence our people’s thoughts and actions with their carefully prepared statements, should know how great the achievement of the people was and how great the popular movement was.","Kowa dai ya ga irin kokarin da makiya suka yi tsawon wadannan watanni wajen ganin sun dushe hasken ranar 12 ga watan Esfand (ranar da aka gudanar da zaben 'yan majalisa), ku dubi irin kudaden da suka kashe da kuma irin tsare-tsare da kulle-kulle da nufin isar da su zuwa ga mutane don su yi tasiri cikin zukatan su (da hana su fitowa zaben), don sun san irin girman da ke cikin ayyukan da mutane suke yi da kuma yunkurin da suke yi."
And they should help the officials of the country fulfill their duties.,Su kuma mutane muminai su ci gaba da zama cikin kwanciyar hankali da kuma aiki da basira sannan kuma su sanar da jami'an kasa akan duk wani yunkuri mara tsari.
"He believed that the government was an un-Islamic and illegitimate institution usurping the legitimate authority of the supreme religious leader (Faqih), who should rule as both the spiritual and temporal guardian of the Muslim community (Umma).","A ranar 19 ga watan Mehr, 1347 (9 ga Oktoba 1968) a wata ganawa da ya yi da wakilin kungiyar Fatah mai fafutukan 'yanto kasar Palastinu, Imam Khumaini ya bayyana mahangarsa kan matsalolin da duniyar musulmi ke ciki da kuma yunkurin al'ummar Palastinu."
"In a world in which people have awakened, it is not possible to solve one's problems with materialistic methods and perspectives. It is not possible to solve one's problems with an aggressive spirit and behaving as if that the world owes you. It is possible to do so only through logic, rationality and spirituality and this is the same method that the Islamic Republic of Iran has adopted.",Ba za a iya yin komai ta hanyar kallo irin na abin duniya da kallo na girman kai da kokarin wuce gona da iri a irin wannan duniyar da al'ummominta suka farka ba. Za a iya cimma wani abu ne kawai ta hanyar amfani da hankali da kuma ababen da suke kyautata ruhi. Wannan dai ita ce hanyar da tsarin Jamhuriyar Musulunci ya rika.
This shows lack of determination.,"To a lokacin da wani matashi ya ke wasan motsa jiki, sannan yake hakuri da wahalhalun da ke cikin motsa jikin, kuma ya ci gaba da wannan motsa jikin cikin so da kauna, hakan lamari ne da ke nuni da tsayayyiyar azama."
"Therefore, the issue of domestic production is an important issue.",A saboda haka lamarin samar da kayayyakin da ake bukata a cikin gida lamari ne mai matukar muhimmanci.
"This is considered an important and significant phenomenon in today's world, which is suffering from a deep intellectual and theoretical vacuum after the failure of communism and liberalism.","Ya sami wani matsayi mai girma da kuma bayyanar da kansa a fage na rayuwa da siysa da gwamnati da kuma tsarin na zamantakewa, wanda hakan wani lamari ne mai matukar muhimmanci a irin wannan duniya da muke ciki bayan shan kashin tsarin gurguzu da na jari hujja."
The arrogant powers have focused all their efforts on safeguarding this cancerous tumor in the region.,Dukkanin kokarin ma'abota girman kai shi ne tabbatar da wannan cutar kansar a wannan yankin.
"These messages also explain the great facilities of the Islamic Ummah â€“ its material and spiritual facilities and its geographic and cultural capacities. These messages remind the Islamic Ummah of its great facilities, which are unfortunately being plundered by the enemies.","Haka nan kuma a cikin wadannan sakonni ana bayanin irin gagarumin karfin da al'ummar musulmi suke da shi, da suka hada da karfi na abin duniya da na ruhi da kasa da al'adu; wato suna tunatar da al'umma irin gagarumin karfin da suke da shi wanda abin bakin cikin makiya suna kokarin raunana shi."
"Of course, by Allah's favor, there will be many other benefits in the future, and reforming the economic structure is among these benefits.",Wannan daya ne daga cikin irin alfanun da aka samu kuma da yardar Allah a nan gaba ne za a ga amfanin hakan sosai. Haka nan gyara yanayin tattalin arziki ma yana daga cikin wannan lamarin.
"If we want to resolve the problem of recession, domestic production and unemployment and if we want to manage the issue of inflation, the cure for all these things lie in the framework of economic resistance and the economy of resistance. The economy of resistance includes all these problems.","Matukar muna son magance matsalar koma bayan da ake fuskanta, matsalar kayayyakin da ake samarwa a cikin gida, matukar muna son magance matsalar rashin aikin yi, matukar muna son kawar da matsalar tsadar kayayyaki, to kuwa maganin dukkanin wadannan matsalolin suna cikin tsarin siyasar tattalin arziki na gwagwarmaya da dogaro da kai ne."
"It means that commitment, revolutionary spirit and sense of responsibility - which was rooted in insight - have become so strong that even high school students of this country enter the arena and lay down their lives. It means that even high school students of our country are prepared to give up all their youthful wishes in order to achieve great ideals and Islamic and divine goals in society.","Yana nufin jin nauyi a wuya, ruhin juyi da kuma jin cewa lalle akwai wani nauyi a wuyansu wanda hakan ya samo asali ne daga masaniya da basira. Hakan ne ya ke sanya wani saurayi da matashi na wannan al'umma su fito cikin fage, su bude kirjinsu, su yi watsi da fata na samartaka da suke da shi don dai su ga cewa an cimma manufa mai girma ta Ubangiji da Musulunci cikin wannan al'umma."
It is very good if we divide our life into certain stages.,Yana da kyau idan har muka kasa rayuwar mu zuwa ga wasu marhaloli da matakai daban-daban.
"She raises and teaches them with her behavior, with her words and with her feelings. She teaches them by stroking, by singing lullabies and by living with them.","Tarbiyyar ‘ya'ya ta hannun uwa, ba irin tarbiyya da ake yi a aji ba ne; ana yin hakan ne ta hanyar halaye da tausayawa da kulawa da karanto musu kissoshi sannan da kuma rayuwa da su."
I would like to stress the issue of morality in sports.,Wani lamarin da nake son sake jaddadawa kansa shi ne batun nuna kyawawan halaye a lokacin wasa.
"Regarding the philosophy behind divine tests, the Leader of the Islamic Revolution referred to the Iranian nation's success in dealing with the fitna of the year 1388 as an example. He reiterated that the Iranian nation's success was not just indicative of its power.",Jagoran juyin juya halin Musulunci ya bayyanar cewar nasarar da al'ummar Iran ta samu wajen tsallake tarkon fitinar da ta faru a shekarar 2009 (bayan zaben shugaban kasar da aka gudanar a Iran) daya ne daga cikin alamun da suke nuni da wannan falsafa da ke cikin jarrabawa ta Ubangiji.
"Today distorting realities and different events is one of the main paths that the enemy is pursuing, and this is among the important elements of soft war.","A yau daya daga cikin tafarki na gaba-gaba cikin aikin makiya - wanda yana daga cikin muhimman hanyoyin da makiya suke bi a yakinsu na ruwan sanyi - shi ne a sauya hakikanin lamarin da ke faruwa, a sauya hakikanin abubuwan daban-daban da suka faru."
His Eminence stated that the general policy of the Islamic Republic is to create solidarity among the elements that affect labor.,"Jagoran ya bayyana cewa siyasa ta gaba daya ta wannan tsari da kuma jami'an gwamnati ita ce samar da hadin kai da aiki kafada da kafada tsakanin masu gudanar da aiki inda ya ce: Ko da yake akwai wadansu mutane a cikin kasar nan da suke zaluntar ma'aikata da leburori da kuma take musu hakkokinsu, to amma siyasa ta gaba daya ta tsarin Musulunci ita ce haifar da fahimtar juna da girmamawa tsakanin ma'aikata da wadanda suka dauke su aiki ne."
We have witnessed various kinds of machinations from them over the past thirty-something years.,Tsawon wadannan shekaru talatin da wani abun mun shaidi makirce-makirce kala-kala da suka kulla mana.
Of course many things were done during the fourth development plan.,Tabbas an gudanar da ayyuka masu yawa a cikin shiri na shekaru hudun.
This means supporting the blossoming of labor.,Hakan kuwa yana nufin goyon bayan ci gaban ayyuka ne.
Leader Visits Tehran's International Book Fair - Khamenei.ir,Jagora Ya Ziyarci Kasuwar Baje Kolin Littafa Na Tehran
I pray to Allah the Exalted to associate the pure souls of our honorable martyrs with His saints in the hereafter.,Hakan nan kuma Ya tayar da rayukan shahidanmu masu girma tare da waliyansa. Wassalamu alaikum wa rahamatullah wa barakatuhu.
I hope the officials in charge of the Ministry of Education will pay attention to these important realities and heavy responsibilities and will pursue this great goal through intensified work and serious efforts.,"Muna fatan jami'an ma'aikatar ilimi da tarbiyya, bisa la'akari da wadannan lamurra masu muhimmanci, bisa la'akari da wannan gagarumin nauyi da ke wuyansu, za su ci gaba da bin diddigin wannan aiki da dukkan karfinsu da kuma gagarumar himma da kokari."
America might pose threats to other countries. It might do crazy things.,Na'am mai yiyuwa ne Amurka ta yi barazana ga wasu kasashe; mai yiyuwa hauka ya debe ta.
A wide range of construction projects have been carried out in the country. These are all advances.,An gudanar da ayyukan ci gaban kasa masu yawa; dukkanin wadannan ci gaba ne.
It is the inner self of human beings that imposes a physical defeat on them.,Shan kashi na badini na mutum shi ne ya ke sanya masa shan kashi na waje.
"Ayatollah Khamenei said that this event is indicative of the greed of the US and the oppressive attitude of the arrogant powers towards other nations, including the Iranian nation.",Jagoran ya bayyana hakan a matsayin abin da ke nuni da irin kwadayin da Amurka take da shi da kuma ruhin wuce gona da iri da ma'abota girman kai suke da shi kan al'ummomin duniya ciki kuwa har da al'ummar Iran.
I hope Allah the Exalted makes this happen.,Ina rokon Allah Madaukakin Sarki da ya sanya hakan ta faru.
"Hell will settle his account, an evil resting-place” [the Holy Quran, Sura al-Baqara, Ayahs 205-206].","Kuma hakika, shimfida ta munana"" (Suratul Bakara 2:205-206)."
"The Holy Quran addresses us in a resonating and dynamic manner, “You are the best of the nations raised up for (the benefit of) men. You enjoin what is right and forbid the wrong and believe in Allah.” [Sura Al-e Imran, ayah 110] According to this dignified ayah, the Islamic Ummah is created for humanity.","Alkur’ani mai girma yana kiranmu da cewa: “Kun kasance al’umma mafi alheri da aka fitar da mutane: kuna umurni da (aikata) alheri, kuma kuna hani da munanan aiki, kuma kuna bada gaskiya da Allah“ (Suratu Ali Imrana :110) A cikin wannan kira mai daraja an bayyana al’ummar musulmi a matsayin mafi alherin bil’adama."
Among the things that can be mentioned in this regard is the issue of redistributing state subsidies.,Daga cikin abubuwan da za a iya ambato a wannan bangaren shi ne wannan siyasa ta manufantar da irin tallafin da gwamnati take bayarwa.
"But even if we consider all sports together, the situation is the same.",Idan kuka duba za ku ga cewa haka lamarin ya ake samunsa a sauran ayyuka na daban.
17. Collections of Speeches and Messages ( 9 Volumes ),18- Kalaman Wilaya (jawabai da kalamansa da ya zuwa yanzu an buga mujalladai 9 daga cikinsu)
Other times it is not a matter of trying to overthrow the government: it is simply a matter of differences of taste and opinion. It is necessary to decrease these differences as much as possible.,"A wani lokaci haka lamarin ya ke (wato ana kokarin kifar da tsarin ne), a wani lokacin kuma ba haka lamarin ya ke ba, ba wai wani kokari ne na cutar da tsarin da kuma kifar da shi ba, sabani ne na ra'ayi kawai."
"The story of the Battle of Uhud and the defenders seeking the spoils of victory caused the defeat of Muslims, and the mojahids were reprimanded by God. This is a good example that should never be forgotten.","Abin da ya faru a yakin Uhudu da neman tara ganima da wadanda aka ba su gadin wannan mashigar lamarin da ya haifar da shan kashin da musulmi suka fuskanta, daya ne daga cikin alamun hakan wanda bai kamata har abada mu mance da shi ba."
"On the economic front, it is necessary to pay attention to domestic production, just as had been stressed in last year's slogan.","A fagen tattalin arziki wajibi ne a kara himma kan abubuwan da ake samarwa a cikin gida, kamar yadda hakan ya kasance shi ne taken shekarar da ta gabata."
"I hope, by Allah's grace and favor, the people of Iran will have a happy year full of divine blessings. I hope the Iranian people will be successful in all arenas.",Ina rokon Allah Madaukakin Sarki cikin falala da rahamarSa Ya sanya wannan shekara ta zamanto shekarar da take cike da ababen farin ciki da albarkoki da ni'imomi ga al'ummar Iran sannan da kuma samun nasara a dukkanin fagage.
Mothers teach children by living with them.,Uwaye za su tarbiyyartar da ‘ya'yansu ta hanyar rayuwa da su nw.
"He reiterated: ""Reflecting on these achievements will help us understand the identity and potential of the people of Isfahan, and it will show the people of Isfahan how to continue their progress, glory and pioneering role.""","Daga nan sai ya ce: Tuntuni cikin wadannan ababen alfahari lamari ne da ke nuni da karfi da kwarewar da ke tattare da mutanen Isfahan, sannan kuma lamari ne da ke nuni da tafarkin ci gaba da kuma daukaka da wadannan al'umma suke kai."
One of the things that can be done is to adapt the existing systems in society. Another thing that can be done is to create a system that is appropriate for the new needs. Both are difficult.,"Daya daga cikin ayyukan da ke gaba shi ne a samar da sauyi cikin cibiyoyin da ake da su, wani lamarin kuma shi ne a samar da wadansu cibiyoyi da hukumomin da ake bukata. Dukkanin wadannan abubuwa biyu gina wani abu ne, dukkanin su suna daga cikin ayyuka masu wahalar gaske."
"If our scientists and youth had not done what they did, today we would have to go to those who are not our friends and ask them for either twenty-percent enriched uranium or radiopharmaceuticals.","Idan da a ce masana da matasanmu ba su yi wannan aikin ba, to da a yau cikin kaskantar da kai da maula da kashe kudade masu tsada da mun tafi wajen mutanen da suke adawa da mu, mu gabatar musu da bukatar su sayar mana da makamashin ko kuma mu dinga bukatar magunguna da abubuwan da ake bukatan."
"6. Attracting technology, capital and financial resources, exchanging manpower and gaining access to foreign product and service markets through effective and constructive interaction with countries and organizations of the region and the world.","6- Janyo hankali wajen amfani da fasaha, zuba jari da hanyoyin samun kudade, musayen kwararru, samun kutsawa cikin kasuwannin kasashen waje da gudanar da ayyuka ta hanyar mu'amaloli masu amfani da kasashen (duniya), kungiyoyi da cibiyoyi na wannan yankin da kuma na duniya baki daya."
This is a mistake.,To wannan dai kuskure ne.
"One's ethical and behavioral character should be so strong that different temptations cannot affect it. Sometimes certain temptations might affect and overwhelm people. There are some people who are humiliated for the sake of money, social position and carnal desires.","Wasu daga cikin abubuwa masu janyo hankali na rayuwa sukan kaskantar da mutum. A wasu lokuta a kan ga wasu mutane sukan kaskantar da kansu saboda kudi, sukan kaskantar da kansu saboda mukami saboda biyan bukata ta jima'i, to hakan kaskanci ne ga mutum."
"The United States and Europe made their utmost efforts to retain their pawns in Egypt, Tunisia and Libya, each one in a particular way. But when the resolve of the nations prevailed over their will, they gave an insincere smile of friendship to the triumphant people.","Amurka da kasashen Turai sun yi dukkanin abin da za su iya wajen tabbatar da 'yan korensu a kasashen Masar da Tunusiya da Libiya, to amma a lokacin da azamar al'ummomi ta yi galaba kan abin da suke so, sai suka koma ga shimfidar fuska ta karya ga wadannan mutane da suka yi nasara."
"Thankfully they were defeated, and they must have been defeated.","Wanda alhamdu lillahi duk sun sha kashi, kuma wajibi ne ma su sha kashin."
"In the Name of Allah, the Beneficent, the Merciful",Da Sunan Allah Mai Rahama Mai Jin Kai
Sayyid Ali Khamenei,Sayyid Ali Khamenei
"Dear God, suppress and defeat the enemies of this nation.",Ya Ubangiji Allah! Ka ruguza makiyan wannan al'umma.
Laborers' Week does not just belong to our esteemed laborers - it belongs to all Iranians. This is because the working class is in fact one of the leaders of the public efforts to built the future of the country.,Ranakun makon ma'aikata ba wai kawai sun ta'allaka ne da ma'aikatanmu masu girma ba ne; sun ta'allaka ne da dukkanin iraniyawa; don kuwa alal hakika gungun ma'aikata suna daga cikin sahun farko-farko na kokari na gaba dayan al'ummar Iran wajen gina gobe.
"He received the bad news that his father had lost his sight in one eye and was not able to read properly. This prompted him to return to Mashhad and while being at the service of his father, seek further knowledge from him, from Ayatollah Milani and other important scholars residing in Mashhad.","A shekarar 1343 (1964) Jagoran juyin juya halin Musulunci, cikin wasikar da ya samu daga wajen mahaifinsa, ya fahimci cewa daya daga cikin idanuwan mahaifin nasa ya makance, wannan labari ya sosa masa rai, don haka ya shiga cikin damuwa ko dai ya zauna ya ci gaba da karatunsa a Kum ko kuma ya koma Mashhad don kula da mahaifinsa. Daga karshe dai Ayatullah Khamene'i ya yanke shawawar yin hijira don Allah daga Kum zuwa Mashhad don ya kula da mahaifinsa."
"Dear God, prepare the means that are necessary for the Islamic glory, honor and pride of this nation.",Ya Ubangiji Allah! Ka kara irin abubuwan da suke tabbatar da daukaka da ci gaba irin na addini da na Musulunci a tsakanin wannan al'umma.
"The following is the full text of the speech delivered on April 12, 2011 by Ayatollah Khamenei the Leader of the Islamic Revolution in a meeting with cultural and political figures of Iran.",Shimfida: Abin da ke biye fassarar jawabin da Jagoran juyin juya halin Musulunci Ayatullah Sayyid Ali Khamenei ya yi ne a yayin ganawarsa da wasu masana masu gudanar da ayyukansu a bangaren al'adu da siyasa na Iran bayan salla.
But there are certain things that they have in common and they should cooperate in those areas.,"Akwai wadansu abubuwa da aka yi tarayya cikinsu, da za a iya gudanar da aiki tare."
The event proved that women are not on the periphery of history. It proved that women can have a central role in important historical events.,"Wannan lamari ne dake nuni da cewa mace dai ba a bar ta a bayan fage na tarihi ba, mace tana cikin abubuwa masu muhimmanci na tarihi."
"According to their own luminaries, they attacked Iraq and Afghanistan in order to besiege Iran, but it was they themselves who were besieged. They are trapped in a quagmire.","Sun kai hari kan kasashen Iraki da Afghanistan, da nufin killace Iran - manyan su suna fadin cewa sun yi hakan ne don killace Iran, to amma kan su ne suka killace, kafafunsu sun nutse cikin laka da shiga cikin tsaka mai wuya."
"They will not give up just because they were defeated on a certain occasion. No, they will design plans for the next 10 years, the next 20 years, the next 40 years.","Sai dai ba za su yanke kana ba saboda sun ga cewa yau sun sha kashi; za su ci gaba da shiri don shekaru goma, shekaru ashirin, shekaru arba'in masu zuwa."
"Well, this is stupidity.",To wannan dai wauta da hauka ne.
"The scientists were working with a jihad-like spirit. They were working as if they were involved in jihad, as if they were fighting in the battlefield in the way of God.","Wadannan masana suna gudnar da ayyukansu ne da ruhi na jihadi; wato tamkar mutanen da suke yin jihadi, tamkar suna a fagen jihadi saboda Allah ne."
"Dear God, bestow Your support and assistance on our Armed Forces, the Army of the Guardians of the Islamic Revolution, the Islamic Republic of Iran's Army, the Police and the Basij.","Ya Ubangiji Allah! Ka sanya dukkanin dakarun mu masu makami, dakarun kare juyin juya halin Musulunci, sojojin Jamhuriyar Musulunci ta Iran, ‘yan sanda, dakarun sa kai na Basij cikin rahama da kariyarka."
This is how nations should restore their dignity.,Ta haka ne ya kamata al'ummomi za su dawo da daukakar su.
"And greetings be upon the Imams of Muslims and supporters of the oppressed, especially upon the Commander of the Faithful, the Mistress of all women, Hassan and Hussein - the children of mercy and the Imams of the guided - Ali ibn al-Hussein Zayn al-Abidin, Muhammad ibn Ali, Ja'far ibn Muhammad, Musa ibn Ja'far, Ali ibn Musa, Muhammad ibn Ali, Ali ibn Muhammad, Hassan ibn Ali and Hujjat al-Qaem al-Mahdi, Your representative among Your servants and trustworthy ones in Your land.","Tsira da aminci su tabbata ga Imaman musulmi, masu goyon bayan raunana, Amirul Muminin da Shugabar matar duniya da Hasan da Husain jikokin rahama sannan kuma shugabannin shiriya da Aliyu bn Husain Zainul Abidin da Muhammad bn Ali da Ja'afar bn Muhammad da Musa bn Ja'afar da Ali bn Musa da Muhammad bn Ali da Ali bn Muhammad da Hasan bn Ali da al-Mahdi, hujjojinka a kan bayinka sannan kuma amintattunka a bayan kasarKa."
The work is being done by the youth.,Don kuwa aiki yana hannun matasa ne.
"A massive amount of work was done in the area of infrastructure, in the area of building roads, in the area of energy, in the area of discovering new oil reserves, in the area of discovering new sources of uranium, in the area of building and developing power plants and refineries, and in tens of other great industrial areas.","An gudanar da ayyukan ci gaban kasa da yawa; a fagen gina hanyoyi, a fagen makamashi, a fagen gano sabbin albarkatun kasa na man fetur, a fagen ganon sabbin wajajen da ake da karfen uranium, a fagen kara fadada cibiyoyin samar da wutan lantarki da matatan mai da sauran ayyukan masana'antu manya; wadanda dukkaninsu abubuwan ne da za su karfafa bangaren tattalin arzikinmu a nan gaba."
These are important capacities and they are very valuable.,Wadannan wasu fagage ne masu muhimmanci sannan kuma lamurra ne masu kimar gaske.
"Therefore, Norouz is a new stage.",A saboda haka Norouz wani sabon yanayi ne.
"Our government is an Islamic republic: it is a democracy, an Islamic democracy.","Jamhuriyar Musulunci ce, tsari ne na demoradiyya na Musulunci."
"He added: ""In the Islamic Republic's model of power, discipline, military equipment and training have an important role, but the divine sense of responsibility and reliance on Allah the Exalted are the spirit of all these means.""","Daga nan sai ya ce: A fagen karfi da tsayin daka na tsarin Musulunci na Iran, tsari da makamai na soji da kuma samun horarwa ta soji suna da muhimmanci, to amma ruhin dukkanin wadannan abubuwa shi ne jin cewa akwai wani takalifi na Ubangiji da kuma dogaro da shi Madaukakin Sarki."
Leader’s Speech to Teachers and Graduates of Mahdaviat - Khamenei.ir,Jawabin Jagora Yayin Ganawa Da Malamai Da Marubuta Kan Akidar Mahdi
"The following is the full text of the speech delivered on October 26, 2009 by Ayatollah Khamenei the Leader of the Islamic Revolution in a meeting with the officials in charge of hajj affairs.",Jawabin Jagora Yayin Ganawa Da Jami'an Hajjin Bana (1430)
What happened was the exact opposite of what they wanted.,To sabanin abin da suke fatan gani shi ne ya faru.
"Even in Islamic countries, there were many youth and sincere people who had pinned their hopes on Marxism. They thought establishing a socialist government would eradicate poverty, injustice and other such things in their country. Some of them truly believed in Marxism.",Hatta a kasashen musulmi an sami matasa da yawan gaske wadanda mutane ne masu tsarkin zuciya da suka sanya dukkanin fatan da suke da shi ga tsarin markisanci; suna zaton cewa idan aka kafa gwamnatin gurguzu za a samu kawar da talauci da rashin adalci da kaza da kaza daga kasashensu.
"Of course what happens is the result of certain conditions in which the revolutionary generation lives, conditions that did not exist for previous generations. The Islamic Revolution is a case in point.","Wata zuriya ta al'umma ce ta samar da shi, ko da yake hakan ya dogara ne da wani irin yanayi da aka samar, wanda al'ummomin da suka gabata ba su sami irin sa ba; irin juyin juya halin Musulunci."
"This is one of the requirements of the idea of ""economy of resistance"" which I put forward.",Mu kiyaye ta. Wannan daya ne daga cikin laziman tattalin arziki na gwagwarmaya da muka gabatar.
"He added: ""This presence really frightened the enemy because the powerful presence of the Islamic Republic of Iran's naval units in international waters is a source of hope and inspiration for other nations.""","Jagoran juyin juya halin Musuluncin ya ci gaba da cewa: Jamhuriyar Musulunci ta Iran dai ba ma'abociyar wuce gona da iri ba ce, to amma dai za ta ci gaba da zama a Tekun kasa da kasa, don kuwa wadannan Teku mallaka ce ta dukkanin al'ummomi wajen musayen al'adu."
"Today, fortunately, the Revolution has acted in a way that these capacities can develop in all areas, particularly sports.",To a yau a halin yanzu abin farin cikin shi ne cewa juyin juya hali ya yi wasu abubuwan da suka sanya bayyanar wadannan kwarewar da al'ummar Iran suke da su a bangarori daban-daban.
I hope that Allah the Exalted helps us to succeed in doing what we say.,Ina rokon Allah Madaukakin Sarki da Ya ba wa dukkaninmu dacewar aiki da abin da muke fadi.
"This is the difference between the monotheistic view and materialistic view, between divine knowledge and material knowledge. This is one of the most essential foundations of insight.",A saboda haka ku dubi bambancin da ke tsakanin mahanga ta tauhdi da mahanga ta abin duniya. Wannan ita ce masaniya ta Ubangiji wancan kuma ita ce masaniya ta abin duniya.
We are the first people addressed by the Holy Quran and the message of the Holy Prophet (s.w.a.).,"Raunin dai yana tare da mu ne, matsalar tana tattare da mu ne, mu din nan mu ne mutanen farkon da Alkur'ani da kuma wannan sako na Annabi yake magana da su."
An international center has been formed here for Islamic scholarship.,Wata cibiya ta kasa da kasa ta Musulunci ce aka kafa ta a wannan wajen.
"Similarly, in Egypt, Anwar Sadat was one of the supporters of Gamal Abdel Nasser. He was among the people who had carried out the coup or what they called ""Free Officers Movement"". Basically, during the time of Gamal Abdel Nasser, the Free Officers Movement had been started with the goal of liberating Palestine.","Ko kuma a kasar Masar, Anwar Sadat ya kasance daga cikin mabiyan Jamal Abdun Nasir; yana daga cikin jami'an sojin da suka yi juyin mulki ko kuma abin da suke kira juyin juya halin ‘yantattun jami'an soji; wannan yunkuri na ‘yantattun sojoji a lokacin Jamal Abdun Nasir ya ginu ne bisa taken ""'Yanto Palastinu""; to amma daga baya dai lamari ya kai su ga yin sulhu da ‘yan fashin Palastinun, da kulla makirci a kan al'ummar Palastinu."
This was how Imam Hussein (a.s.) acted.,Wannan shi ne abin da Imam Husaini (a.s) ya yi bayaninsa.
The same is true of the Islamic Ummah.,Haka lamarin yake dangane da al'ummar musulmi.
Today your country is one of the most advanced and prominent countries in the field of manufacturing dams and power plants.,A yau kasarku tana daga cikin fitattun kasashen da suka yi fice a bangaren gina madatsar ruwa da cibiyoyin wutan lantarki a duk fadin duniya.
"In the Name of Allah, the Beneficent, the Merciful",Da Sunan Allah Mai Rahama Mai Jin Kai
"As you saw, a few days ago the US President implicitly threatened to use atomic weapons.","Kun ga hakan dai; 'yan kwanakin da suka gabata din nan, shugaban kasar Amurka ta hanyar ishara ya yi barazanar amfani da makaman nukiliya."
"Of course, today the situation is a lot better than the past, but we still need to improve this. You can play a role in this regard.","Matukar dai wasanni suka sami gindin zama a kasar nan - ko da ya ke tabbas a yanzu ya fi na shekarun baya, to amma har ya zuwa yanzu muna bukatar hakan - to lalle za a magance da dama daga cikin matsaloli."
"This is the factor which makes an army and a nation so strong that material powers become unable to bring them to their knees, and ultimate divine assistance and ultimate victory belong to that nation and army.","Irin wadannan abubuwa su ne suke sanya wasu sojoji, wasu dakaru masu makami da kuma wata al'umma yin irin wannan gwagwarmaya da tsayin dakan da manyan masu karfi na duniya suka gagara durkufar da ita sannan kuma nasara ta karshe tana tare da ita."
"And all praise belongs to Allah, the Lord of the Worlds, and Allah’s greetings be upon our Master, Muhammad, and upon his immaculate household and chosen companions and upon those who follow them rightfully until the Day of Judgment.","Dukkan godiya ta tabbata ga Allah Ubangijin talikai. Tsira da amincinsa su tabbata ga shugabanmu Muhammad tare da Alayensa tsarkaka da zababbun sahabbansa, da mabiyansu cikin kyautatawa har zuwa ranar Kiyama."
They used to get together and make radical revolutionary statements.,Dukkaninsu sun taru suna ta fadin kalmomin juyi masu tsanani.
"If we do not let these things pass into oblivion, then we will make progress.","Matukar dai ba mu mance da hakan cikin al'ummarmu ba, to kuwa za mu sami ci gaba."
They are based on narrations that are not solid and we cannot rely on them.,"Wasu abubuwan da ma suke da tushe din, amma ba abubuwa ne da cikin sauki za a iya tabbatar da su ba."
Any current in Islamic countries which disregards this religious and national responsibility out of consideration for the domineering demands of America or under the pretext of unreasonable justifications should not expect to be viewed as loyal to Islam and sincere in its nationalistic claims.,"Duk wani yunkuri a kasashen musulmi da ya yi watsi da wannan nauyi na addini da kuma kasa sannan kuma bisa bukatar Amurka da kuma riko da wasu hujjoji da suka saba wa hankali da hikima ya mance da wannan batu na Palastinu, bai kamata ya yi zaton cewa za a kalle shi kallo irin na mai sadaukarwa ga Musulunci da kuma daukansa a matsayin aboki ba."
"Primarily it is our government officials - in the executive, legislative and judiciary branches of government - who should make efforts in this regard. Sometimes things might end up in the judiciary.","A matakin farko wajibi ne jami'an gwamnati, shin a bangaren gudanarwa ne ko majalisa ko kuma ma'aikatar shari'a su ba da himma. Mai yiyuwa ne a wani lokacin wani aiki ya zamanto ya koma ga ma'aikatar shari'a."
