ha,sw
"A cikin Sabon Alkawari, Yesu yayi al'ajabi lokacin da jarumin Roman (wani jami'in da ke kula da sojoji dari) ya zo gare shi.","Katika Agano Jipya, Yesu alishangashwa na afisa wa Rumi (afisa aliyesimamia askali mia moja) alimwendea."
Na farko shine hukuncin tumaki da awaki ko hukuncin al'ummai (Matiyu 25:31-36).,Ya kwanza ni hukumu ya mbuzi na kondoo au hukuma ya mataifa (Mathayo 25:31-36).
Mun sani daga Wahayin Yahaya 20:7-15 cewa wannan hukuncin zai faru ne bayan shekara dubu kuma bayan an jefa Shaidan cikin ƙorama ta wuta inda dabbar da annabin ƙarya suke (Wahayin Yahaya 19: 19-20; 20: 7-10).,"Tunajua kutoka ufunuo 20:7-15 ya kwamba hukumu itafanyika baada ya kipindi cha miaka elfu moja na baada ya Shetani, mnyama na nabii wa uongo wametupwa katika ziwa la moto (Ufunuo Wa Yohana 20:7-10)."
"Idan ya dawo, zai kankare la'anar da ta kasance tun Adam (Wahayin Yahaya 21-22).","Wakati atakapo rudi, ataiondoa laana ambayo imekuwa ikidumu tangu Adamu (Ufunuo 21-22)."
Farawa 3 ya bayyana tawayen Adamu da Hauwa’u ga Allah da kuma umarnin sa.,"Akapatiwa jina tena na kuitwa Shetani, akaleta dhambi kwa uzao wa mwanadamu katika bustani mwa Edeni, mahali ampapo aliwajaribu Adamu na Hawa kwa ulaghai ule uel, “mtakuwa kama Mungu.” Mwanzo 3 inaelezea kuasi kwa Adamu na Hawa kunyume na Mungu na sheria zake."
"Shaiɗan da aljanunsa suna yaudarar duniya (2 Korantiyawa 4:4), suna yada koyarwar ƙarya (1 Timothawus 4:1), suna kai hari ga Kiristoci (2 Korantiyawa 12:7; 1 Bitrus 5:8), kuma suna yaƙi da mala'iku tsarkaka (Wahayin Yahaya 12:4-9).","Shetani na pepo wake wanadanganya ulimwengu (2 Wakorintho 4:4), wanawafamia wakristo (2 Wakorintho 12:7; 1 Petero 5:8), wakapigana na malaika wa kweli (Ufunuo 12:4-9)."
"A musayar, Allah ya ɗauki adalcin Kristi ga masu bi kuma ya lasafta asusunmu da adalcinsa, kamar yadda ya lasafta zunubanmu ga lissafin Kristi (2 Korantiyawa 5:21).","Yeye ni mwaminifu na wa haki hata atuondolee dhambi zetu, na kutusafisha na udhalimu wote” (1 Yohana 1:9)."
"Ya kammala idin ta wurin yin waƙa (Matiyu 26:30), kuma suka fita cikin dare zuwa Dutsen Zaitun.","Kwa kumaliza pasaka aliimba zaburi (Mathayo 26:30), na wakatoka nche usiku wakielekea mulima wa misaituni."
"Zai bi da tunani da matakan ka, kowace rana, ta maganarsa, Littafi Mai Tsarki “Zan koya maka hanyar zaka bi, zan koya maka, in kuma baka shawara” (Zabura 32:8).","“ Kwa hivyo, mtu akiwa ndani ya kristo, amekuwa kiumbe kipya; ya kale yamepita tazama yamekuwa mapya” (Wakorintho wa pili 5:17)."
"Maimaitawar Shari'a 4:29 ta yi shela, “Amma idan kun nemi Ubangiji Allahnku a can inda kuke, za ku same shi muddin kun neme shi da zuciya ɗaya, da dukan ranku.” Wannan ayar tana koyar da muhimmiyar ƙa'ida - duk wanda ya nemi Allah da gaske zai same shi.","Kumbukumbu La Torati 4:29 yasema, “Lakini huko, kama mkimtatufa BWANA, Mungu wako, utampata, ukimtafuta kwa moyo wako wote, na roho yako yote.” Aya hii yatufunza nguzo muimu."
.,English
"Daga qarshe, dole ne mu bar ceton wadanda muke wa shaida ga Allah.","Hatimaye, lazima tuachie wokovu wa wale tunaowashuhudia kwa Mungu."
"Amma Yesu Kiristi ya ɗauki hukuncin da ya cancance ni, don ta wurin bangaskiya a cikinsa in sami gafartawa.","Je, umefanya uamuzi kwa Kristo kwa kile ulicho soma hapa?"
"Yanayin baƙin ciki galibi yana haifar da yanayi na rayuwa, kamar rasa aiki, mutuwar ƙaunataccen mutum, kisan aure, ko matsalolin halayyar mutum kamar zagi ko ƙarancin daraja.","Majonzi kila mara huletwa na hali ya maisha, kama vile kupoteza kazi, kifo cha mwenzi, talaka au shida ya kimawazo kama vile kudhulumiwa au picha mbaya ya binafsi."
"Shaidun Jehobah sun ƙi Tirniti, suna gaskanta cewa Yesu halittacce ne kuma Ruhu Mai Tsarki ainihi ikon Allah ne wanda ba shi da rai.","Mashahidi wa Yehova wanakataa utatu wa Mungu, wakiamini kuwa Yesu ni kiumbe na Roho Mtakatifu kuwa ni nguvu za Mungu zizokuwa na uhai."
Littafi yana da cikakkiyar shaida cewa hakika an ta da Yesu Almasihu daga matattu.,Bibilia yatupa ushaidi wa kutosha ya kwamba Yesu Kristo hakika alifufuka katika  wafu.
English,English
Kuskure biyu ba sa yin daidai.,Makosa mawili hayawezi kuifanya iwe zuri.
ƙaramin ɗan ya lalatar da kyautar babansa cikin zunubi mai kunyatarwa (aya 13).,Mwana huyo mdogo alitapanya urithi aliopewa na babake katika dhambi za kuaibisha (aya13).
"Abin godiya, biyu da biyu suna daidai da hudu.","Nashukuru, mbili jumlisha mbili ni nne."
"Cire zakka/bayarwa an nufe su da zama abin murna, abin albarka.",Kutoa fungu la kumi au sadaka inahitajika kuwa ni kitendo cha furaha na baraka.
"Wannan ya cire mataye daga hidima a matsayin fastoci, wanda tabbatacce ya shafi yin wa’azi ga, koyarwa, da kuma samun ikon ruhaniya bisa kan mazaje.","Hii inajumuisha huduma ya uchungaji, uhubiri, walimu na mamlaka ya kiroho juu ya wanaume."
Me ya canza shi daga zama mai shigar da kara na cocin ya zama manzo ga cocin?,Ni kitu gani kilichompadilisha kutoka kutesa kanisa na kuwa mtume katika kinisa?
Asalin asalinsu a cikin Farawa 5 ya rubuta zuriyar zuriyar Shitu-layin da zai haifar da Almasihu daga ƙarshe.,"Mwanzo 1:6-7 inataja maji kuwa juu ya nchi, kivuli cha maji ambacho kilizunguka ardhi."
Littafi Mai Tsarki tana gaya mana cewa dukanmu muna bukatar gafara daga wurin Allah.,Bibilia inatuambia ya kwamba sote tunahitaji msamaha toka kwa Mungu.
"Yanzu zamu iya zaɓan ko muyi zunubanmu na kanmu saboda muna da ikon tsayayya da zunubi ta wurin Ruhu Mai Tsarki wanda yake zaune a cikinmu, yana tsarkake mu kuma yana yanke mana laifofinmu idan muka aikata su (Romawa 8:9-11).","Kwa kushukuru, dhambi ya urithi, ya kusingizia, na dhambi ya kibinafsi zote zimesulubiwa kwa msalaba wa Yesu, na sasa kwa imani katika Yesu Kristo kama mwokozi “Katika yeye huyo, kwa damu yake, tunao ukombozi wetu, masamaha ya dhambi, sawasawa na wingi wa neema yake” (Waefeso 1:7)."
Ba za a iya ƙyale muryoyi ɗari biyar ba.,Haiwezekani kupuuzia ushahidi wa watu mia tano.
Rubutaccen tarihi sun yalwata da “tabbaci” na wane ne Yesu yake.,Historia yote imejaa ithibati ya Yesu alikuwa nani.
"Kaunar Allah a bayyane take: “Saboda ƙaunar da Allah ya yi wa duniya har ya ba da makaɗaicin Ɗansa, domin duk wanda ya gaskata da shi kada ya hallaka, sai dai ya sami rai madawwami (Yahaya 3:16).","Kumbuka chenye kimesemwa katika Yohana 3:16 “Kwa maana jinsi hii Mungu aliupenda ulimwengu, hata akamtoa Mwanawe pekee, ili kila mtu amwaminiye asipotee, bali awe na uzima wa milele” mbele yake kuna aya ingine, “Amwaminiye Mwana yuna uzima wa milele; asiyemwamini Mwana hataona uzima, bali ghadhabu ya Mungu inamkalia” (Yohana 3:36)."
English,English
"Bayan an cika shi, yayi magana a fili kuma da ƙarfi ga Yahudawa a ranar Fentikos na mai Ceto.",Baada ya kujazwa na Roho alizungumza waziwazi na kwa ujasiri mbele ya wayahudi juu ya mwokozi katika siku ya pentekote.
Zabura 139:13-16 yayi magana game da rawar Allah a cikin halittarmu da samuwarmu a cikin mahaifar.,Zaburi 139: 13-16 yasungumzia jukumu la Mungu katika uumbaji wetu na kutengezwa kwetu katika tumboni mwa mama zetu.
Abin da Allah ya dokaci Kiristoci game da shan barasa shine su guje buguwa (Afisawa 5:18).,Kile Mungu anachowaamuru  wakristo juu ya kileo ni wajizuie na ulevi (waefeso 5:18).
"Sa’anda mutane sun san Kiristi a matsayin mai ceton su, sun shigo ne cikin dangantaka tare da Allah da ya basu tabbacin rai madawwami.",Watu wanapomjia Yesu kama mwokozi wana unganishwa katika ushirika na Mungu unaowahakikishia usalama wa milele.
"Aya ta 19-21 ta lissafa ""ayyukan jiki.""",Kuna ratiba mbili katika Wagalatia 5:19-23 yataja “matendo ya mwili.” Haya ni mambo ambayo yanatambulisha maisha yetu kabla tuje kwa Kristo kwa wokovu.
Muna da duk da lauya da alƙali a matsayin mai ceton mu.,Mwokozi wetu ndiye mtetezi wetu na pia ni hakimu.
Amsa,Jibu
"Bisa ga Littafi Mai Tsarki, gafarar Allah tana daidai a yalwace ga ɗan luwaɗi yadda take ga mazinaci, mai bautar gumaka, mai kisan kai, barawo, da dai sauransu.","Kulingana na Biblia msamaha wa Mungu juu ya shoga upo sawa na wa mzinzi, muabudu sanamu, muuaji, mwizi na kadhalika."
"Hakanan, duhu bai wanzu ba; rashin haske ne.","Vile vile, giza haliwepo; ni kutokuwa na mwangaza."
"Dokokin kimiyya da kimiyyar lissafi ba su da wata ma'ana, kuma kasuwanci ba zai yiwu ba.","Sheria za sayansi na fisikia sitakuwa sa muhimu, sheria ya biashara haitawezekana."
Wannan ya nuna a sarari cewa Allah yana ɗaukar jariri a cikin mahaifiyarsa a matsayin mutum kamar wanda ya manyanta.,Hii yaonyesha wazi wazi kuwa Mungu anaihesabu mimba kama mwanadamu ambaye ni mtu mzima.
Hakanan Uban ke yi duk waɗannan ta ikon Ruhu Mai Tsarki.,Haya yote Baba ayatenda kupitia Roho Mtakatifu.
"Koyaya, sane musamman kyautarmu ta ruhaniya ba zai hana mu bauta wa Allah a wuraren da ba kyautarmu ba.",Ingawa kujua kamili kipawa chetu cha Roho Mtakatifu haitupi ruhusa ya kutomfanyia Mungu kazi sehemu zilizo nche na vipawa veytu.
Shekarun dubu waɗanda aka maimaita ambaton su a cikin wannan Sashin ya yi daidai da sarautar Kristi na shekaru 1000 na zahiri a duniya.,Die duisend jaar wat oor en oor genoem word in hierdie gedeelte kom ooreen met Christus se 1000 jaar van heerskappy hier op aarde.
"Muna neman neman Ceto a cikin abubuwan da Allah yake yi a rayuwarmu, a cikin haɓakarmu ta ruhaniya, cikin kyawawan ayyuka da biyayya ga Maganar Allah da ke bayyane a cikin tafiyarmu ta Kirista.",Kuwa na furaha kwa kila kitu ambayo neno la Mungu lakwambia badala ya kushuku tunaweza kuishi na ujaziri.
"A cikin 2 Sama’ila 7:10-17, mun ga alkawarin da Allah ya yi wa Sarki Dawuda.",In 2 Samuel 7:10-17 sien ons die belofte wat God aan Koning Dawid gemaak het.
"Ba su da shugabanci da kame kai, kuma yayin da suka tsufa suna tawaye kuma ba su da daraja ko kaɗan ga kowane irin iko, har da na Allah.","Wanokosa mwelekeo na kujizuia, na wanapokuwa wakubwa wanaasi na hawana/wako na heshima kidogo sana kwa uongozi wowote ule, ukiwemo ule wa Mungu."
"Ina kuwa gaya muku a nan gaba za ku ga Ɗan Mutum zaune a dama da Mai Iko, yana kuma zuwa a kan gajimare.’” (Matiyu 26:64).","“Yesu akamwambia wewe umesema,’ Yesu akamwambia, wewe umesema; lakini nawaambieni, Tangu sasa mtamwona Mwana wa Adamu ameketi mkono wa kuume wa nguvu, akija juu ya mawingu ya mbinguni” (Mathayo 26:64) viongozi wa Kiyahudi walimdhania kwa kukufuru (Mathayo 26:65-66)."
"Kamar yadda Allah ya nuna rahama ya fitar da Isra'ilawa daga Misira alhali ba su da komai sai bayi marasa kuɗi kuma ya ba su ƙasarsu ta kansu (Littafin Firistoci 25:38), don haka yana fatan su nuna irin wannan alheri ga talakawan ƙasarsu.","Kama vile Mungu kwa huruma zake aliwatoa Waisraeli katika Misri wakati hawakuwa kitu cho chote na kuwa watumwa alikwisha wapa nchi ambayo ni yao (Mambo Ya Walawi 25:38), kwa hivyo aliwatarajia waonyeshe ukarimu huo huo kwa raia wenzao maskini."
"Kwadayi na iya haifar da karya ɗaya daga cikin dokokin da aka lissafa a sama: kisan kai, zina, da sata.",Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Kuma daidai wannan Yesu ya ce,” Ku zo gare ni dukan ku masu wahala, masu fama da kaya, ni kuwa zan hutasshe ku” (Matiyu 11:28).","Na Yesu huyu asema hivi, “Njoni kwangu,ninyi nyote msumbukao na wenye kulemewa na mizigo, nami nitawapumzisha’’ (Mathayo 11:28, TMP)."
"Amma yayin da wasu fassarar ke amfani da ""a rana ta uku"" don waɗannan ayoyin, ba duka suke yi ba, kuma ba kowa ya yarda cewa ""a rana ta uku"" ita ce hanya mafi kyau don fassara waɗannan ayoyin.","Tafusiri zingine zinapotafusiri “katika siku ya tatu” kwa hizi aya, si zote, na si kila mmoja anakubaliana kwamba “siku ya tatu” ndio njia nzuri ya kutafusiri aya hizi."
"Ana cikakken maguɗin kome a gidan wasannin caca don a kwashi masu yawa da bayar da ribar ba kome, banda cincirindo da nisaɗi ta wofi.",Kila kitu ndani ya kasino kimeundwa kuchukua pesa za watu kwa wingi bila kurudishia chochote mwenye kutoa pesa hizo.
"Tare da taimakon Ruhu Mai Tsarki, zamu iya shawo kan zunubi kuma mu zama kamar Mai Cetonmu, Ubangiji Yesu Kiristi a koyaushe.",Tukisaidiwa na Roho Mtakatifu tutashinda dhambi na kumfanana mwokozi wetu Bwana Yesu Krosto.
"Ba kalmomin cikin addua bane suke da mahimmanci, amma dalilin addu'ar.","Sio maneno katika maombi ambayo yana umuimu, ni lengo ambalo liko nyuma ya maombi."
"Wasu suna zato cewa lokacin da Allah ya rikitar da harsuna a hasumiyar Babel (Farawa 11:1-9), shi ma ya halicci bambancin launin fata.","Wengine wanadhania kuwa, wakati Mungu alichanganyisha lugha katika mnara wa Babeli (Mwanzo 11:1-9), pia aliumba rangi tofauti."
Babu ƙarairai ko abin da an ɗauka an gani ko ji da zai sauya mutane ta hanyar da tashin matattu yayi.,Ingekuwa uongo watu hawangeokolewa na kumgeukia Yesu kama walivyofanya.
Ba za ku iya samun tulun mugunta ba.,Huwezi kuwa na ghala la uovu.
Addu’ar mai zunubi ta zama roƙo ne don alheri maimakon hukunci.,Ombi hili la mwenye dhambi ni kwa kutafuta neema badala ya hukumu.
"Idan kowane mai ba da gaskiya ga Kristi yana da iko da ikon yin alamu, al'ajabi, da mu'ujizai, to alamu, abubuwan al'ajabi, da mu'ujizai ba za su iya zama alamun manzo ba.","Kama kila Mkristo katika Kristo alikua amejiami na  uwezo wa kutenda ishara, maajabu na miujiza, kwa hivyo, ishara, maajabu na miujiza hivyo basi aingekuwa ishara ya mitume."
"“Sai mu ma mu yar da dukkan abin da ya nauyaya mana, da kuma zunubin da ya ɗafe mana, mu kuma yi tseren nan da yake gabanmu tare da jimiri.” Saboda bangaskiya da jimirin muminai waɗanda suka gabace mu, an hure mu mu ci gaba da bin tafarkinmu na bangaskiyarmu.","Waebrania 12:1 yaendelea “….na tuweke kando kila mzigo mzito, na dhambi ile ituzingayo kwa upesi; na tupige mbio kwa saburi katika yale mashindano yaliyowekwa mbele yatu.” Kwa sababu ya imani na hekima ya Wakristo ambao walitutangulia, lazima tutiwe moyo kwa kufuata mfano wao."
Amsa,Jibu
"Maimakon haka, Allah yayi alƙawarin rama nasa, ya tabbatar musu, ya gyara kurakuransu, yayi masu adalci, kuma ya cece su daga abokan gaba.","Badala, Mungu ameahidi kulipa ubaya kwa ubaya yeye mwenyewe, kuwapatia sawa na makosa yao, kuwafanyia haki, na kuwakomboa kutoka kwa masaibu."
Yesu dan Allah ne domin Ruhu Mai Tsarki ya ɗauki cikinsa cikin Maryamu.,Yesu ni Mungu katika hali kwamba ni Mungu anajithirihisha kama mwili.
"Bayan ambaliyar, lokacin da harsuna daban-daban suka wanzu, kungiyoyin da ke magana da yare ɗaya sun ƙaura tare da wasu masu yare ɗaya.","Baada ya gharika wakati lugha tofauti zilianza kuwepo, kikundi ambacho kilizungumza lugha moja kilijitenga mbali na wengine waliozungumza lugha moja."
"Koyaya, kawai saboda Littafi Mai Tsarki bai yi magana game da batun ba yana nufin Allah ya yarda da yin “jima’i” kafin aure.","Ingawa kwa sababu hiyo kuwa Bibilia kwa bayana hailizungumzii hilo swala, haimanishi kuwa Mungu analikubalia tendo la “ngono kabla” ya ndoa."
Ta yaya zaka sami tabbacin ceto?,Je unawezaje kujua hakika umeokolewa?
"Addinin Mormon (Mormoniyanci), wanda mabiyansa aka san su da Mormons da Sainarshen Walin Waliyyai (SWW), an kafa shi ƙasa da shekaru ɗari biyu da suka gabata ta hannun wani mutum mai suna Yusuf Smith.","Dini ya Kimomoni, ambayo wafuasi wake wanajulikana kama Wamomoni na Latter Day Saints (LSD), ilianzishwa chini ya miaka miambili iliyopita na mtu anayeitwa Joseph Smith."
"Akwai wasu 'yan abubuwa, kodayake, waɗanda ba za a taɓa yin izinin jima'i ga ma'aurata ba.","Kuna vitu vichache, isipokuwa, haviruhusiwi kamwe kwa wanandoa."
English,English
"Ubangiji Yesu Kiristi yana zance da Nikodimu, mashahurin Bafarisiye kuma memba na Sanhedrin (wani basaraucen Yahudawa).","Bwana Yesu Kristo akizungumza na Nikodemo, aliyekuwa mfarisayo wa kuheshimika na mmoja wa Baraza kuu la Wayahudi (yaani Sanhedrini)."
Wannan abin da yake wanzu shine muke kira Allah.,Kati ya vyote kinachodumu ni Mungu.
"Misali, Ibraniyawa 12:6 ta gaya mana haka “Domin Ubangiji, wanda yake ƙauna, shi yake horo, Yakan kuma hori duk ɗan da ya karɓa.”","Kwa mfano, Waebrania 12:6 yatwambia, “Maana yeye ambaye Bwana ampenda, kumrudi, Naye humpiga kila mwana amkubaliye”."
English,English
"Bugu da ari, babu wani zunubi da ya “girma” da Allah ba zai gafarta masa ba.","Dhambi zote, haijalishi jinsi ilivyo “ndogo” ni kinyume na Mungu asiye na mwisho na wa milele na kwa hivyo anastahili hukumu isiyo na mwisho na ya milele."
Wannan na iya zama dalilin kusan rabin dukkan farkon auren ya mutu ne.,"Tunafanya maamuzi kwa misingi ya mihemuko hii, na hata kuoa/kuolewa kwa sababu tunahisi tuko katika “mapenzi.” Hii inaweza kuwa sababu nusu ya ndoa zote huishia talaka."
An kira Yesu Immanuwel (“ Allah tare da mu” cikin Matiyu 1).,Yesu anaitwa Immanueli (“Mungu pamoja nasi” katika mathayo 1).
Samun kowane irin dangantaka ta kurkusa da mara imani zai iya canzawa da sauri zuwa wani abu wanda ke hana ka tafiya tare da Kristi.,"Kuwa na uhusiano wowote wa kimapenzi na mtu asiyeamini, anaweza badilika kwa haraka na kuwa kitu kingine ambacho ni kikwazo kwa safari yako na Kristo."
Koma zuwa shafin gida na Hausa,English
"“Ta haka ya wajaba maza su ƙaunaci matansu, jikinsu ke nan suke yi wa.",“Vivyo hivyo imewapasa waume nao kuwapenda wake zao kama miili yao wenyewe.
"Saboda rashin adalcin Allah da kuma halinsa mai tsarki, dole ne a shar'anta duk zunubi - azumin da ya gabata, yanzu, da nan gaba.","Kwa sababu ya utakatifu wa Mungu na tabia (mtindo) yake takatifu, dhambi zote, za zamani, sasa na zijao zitahukumiwa."
"Koyaushe muna buƙatar kasancewa cikin shiri don kāre imaninmu (1 Bitrus 3:15), amma dole ne muyi haka cikin ladabi da girmamawa.","Kila wakati twaitajika kuwa tayari kuitetea imani yetu (1 Petero 3:15), lakini lazima tufanye hivyo kwa ukarimu na kwa heshima."
"Nufin Allah na ba Isra’ila Asabat ba wai za su tuna da halitta ba ne, amma za su tuna da bautar da suke yi a Masar da kuma ceton Ubangiji.","Lengo la Mungu kupeana sabato kwa Waisraeli haikuwa kukumbuka uumbaji, bali waukumbuke utumwa wa Wamisri na kule kuokolewa na Bwana."
Shaidan da aljanunsa yanzu suna neman lalata aikin Allah da yaudarar duk wanda zasu iya (1 Bitrus 5:8; 2 Korantiyawa 11:14-15).,Shetani pamoja na mapepo yake sasa wanatafuta kuharibu na kudanganya wale wote wanaomfuata na kumwabudu Mungu (1 Petero 5:8; 2 Wakorintho 11:14-15).
"Zuriyarsu za su gaji waɗannan fa'idodin, kodayake zuwa ƙananan digiri.",Vizazi vyao wangeridhi uzuri huu ingawa kwa kiwango cha chini.
Wannan umarni ne da yake hani da yin sheda a kan wani mutum ta hanyar karya.,"Watu wengu wanaangalia kimakosa amri kumi kama sheria zilizoundwa kuwa, ikiwa zitafuatwa, zitaakikishia mtu kuingia mbinguni baada ya kifo."
"Allah ya kada mabiyan waɗannan addinan, ya nuna ikon mallakarsa da ikonsa.","Mungu aliwashinda wafuazi wa hizi dini, akionyesha uweza alio nao juu ya vitu vyote na uepo wake  kila mahali."
"A takaice, ya kamata Kiristoci su kai juna kotu a kan al'amuran coci?",Wakristo wanastahili kuwapeleka Wakristo wengine kotini kwa mambo yanayohusiana na Kanisa?
"Lokacin da Allah yayi mana magana, yana tabbatar da fahimtar sakonsa a fili.","Wakati Mungu ananena nasi, Anaakikisha kuwa ujumbe wake umeeleweka vizuri."
"Ai, dukkanku ɗaya kuke, na Almasihu Yesu.”",Maana  ninyi nyote mmekuwa mmoja katika Kristo Yesu.”
Ayyukan da kaɗai Allah ke iya yinsu an danka wa Yesu amanansu.,Matendo ambayo yanaweza kufanywa na Mungu Pekee yanaonyeshwa yakifanywa na Yesu.
"Hangen nesa na Kiristanci, a gefe guda, yana amsa tambayoyin guda uku a cikin littafi mai tsarki: 1) Mu halittun Allah ne, an tsara mu ne don mulkin duniya da kuma yin tarayya da shi (Farawa 1:27-28; 2:15).","Mtazamo wa Kikristo, kwa upande mwingine yajibu maswali hayo matatu kibibilia: 1) Sisi ni viumbe wa Mungu, tulipangiwa tuwe na mamlaka duniani na tuwe na ushirika na Mungu (Mwanzo 1:27-28; 2:15)."
"Er ya auri wata mace mai suna Tamar, amma shi mugu ne sai Ubangiji ya kashe shi, ya bar Tamar ba ta da miji ko 'ya'ya.","Eri alimwoa mwanamke aitwaye Tamari, lakini alikuwa mwenye dhambi na Bwana akamwua, na kumwacha Tamari bila mume au watoto."
Zakariya 14:4 ya bayyana wurin zuwan na biyu kamar Dutsen Zaitun.,Rudi kwa ukurasa wa nyumbani wa Kiswahili
Haihuwar Budurwa ta hana yaduwar yanayin zunubi kuma ta bar Allah madawwami ya zama cikakken mutum.,Uzao wa ubikira wa Yesu haukufuata hali ile ya kupitisha dhambi kutoka kizazi hadi kizazi na kumruhusu Mungu aishiye milele kuwa mwanadamu kamili.
"Bugu da ƙari, yana da mahimmanci a tuna cewa cocin ba ta yanke shawarar kanon ba.","Pia, kitu cha muimu kukumbuka kwamba si kanisa ilikua na uamuzi juu ya kanoni."
"Kafin a ba da Dokar Musa, ba a lasafta zunubi ga mutum ba, ko da yake har yanzu mutane masu zunubi ne saboda zunubi da aka gada.","Kuipachika dhambi yetu kwa Yesu, Mungu alimchukuliwa kuwa mwenye dhambi, ingawa hakuwa mwenye dhambi, na akamfanya afe kwa ajili ya dhambi za dunia yote (1 Yohan 2:2)."
Dukan al'umman duniya za su roƙe ni in sa musu albarka kamar yadda na sa maka.’”,"Ek sal seën wie jou seën, en hom vervloek wat jou vervloek."
"Idan akwai bayyanannen bayani na littafi mai tsarki game da wannan gaba, to ya koma kan Ibrahim.","Kama kunao elezo kamilifu la kibibilia kwa uadui huu, elezo hilo larudi nyuma hadi Abrahamu."
"(f) Ga gardama mafi kawo ƙarshen magana, Ina tunani Littafi Mai Tsarki ta faɗe ta da mafi kyau da kanta, “Domin na tabbata, ko mutuwa ce, ko rai, ko mala’iku, ko manyan mala’iku, ko al’amuran yanzu, ko al’amura masu zuwa, ko masu iko, ko tsawo, ko zurfi, kai ko kowace irin halitta ma, ba zasu iya raba mu da ƙaunar da Allah ke yi mana ta wurin Almasihu Yesu Ubangijinmu ba” (Romawa 8:38-39).","(f) kwa kumalizia, maandiko yanasema vyema, “kwa kuwa nimeshawishika ya kuwa si kifo wala uhai, malaika wala pepo, wakati uliopo wala ujao, wala mamlaka yoyote, urefu wala kina, wala chochote katika viumbe vyote, kitatutenganisha na upendo wa Mungu uliomo ndani ya Kristo Yesu Bwana wetu” (warumi 8:38-39)."
Addu’ar mai zunubi ta zama roƙo ne don alheri maimakon hukunci.,Ombi la mwenye dhambi ni Ombi ambalo mtu huomba kwa Mungu wakati anapotambua yakwamba yeye ni mwenye dhambi na anahitaji Mwokozi.
"Da a amsa wannan tambaya takamaimai, a’a, Littafi Mai Tsarki bata faɗi cewa auren wata kabila laifi ne ba.",Biblia inakaza tu ndoa ya muumini na asiyeamini.
Amsa,Jibu
"Allah nagari ne da zai kiyaye alƙawaransa, har ma da alƙawari ya gafarta.”Ubangiji yana kusa da waɗanda suka ƙarai, Yakan ceci waɗanda suka fid da zuciya (Zabura 34:18).","Mungu ni mwema kwa kutimiza ahadi zake, hata kwa ahadi ya msamaha."
Tabbas sun kasance masu tsananin ƙarfi ga cuta da rashin lafiya.,Kwa kweli walikuwa na kinga ya mwili ya juu sana.
Ruhu shine mahimmin abu a cikin ɗan adam wanda ya bamu ikon ƙulla kusanci da Allah.,Roho ni kitu katika maisha ya mwanadamu ambacho kinampa uwezo wa kuwa na uhusiano wa karibu na Mungu.
"Caca cikin Littfi Mai Tsarki: Yayin da Littfi Mai Tsarki a fili bata amfani da caca ba, ya amshi wasannin “sa’a” ko “ƙaddara.” Alal misali, anyi amfani da jefa ƙuri’a cikin Littafin Lissafi don a zaɓi tsakanin bunsurun hadaya da da wanda za a kora zuwa jeji da rai.","Kamari katika Biblia: ijapokuwa biblia haitaji moja kwa moja michezo ya kamari, huzungumzia michezo Fulani ya bahati nasibu kama kupiga kura katika Mambo ya Walawi kuchagua baina ya mbuzi wa sadaka na mbuzi wa lawama."
Me yasa akwai rashin yarda da Allah?,Waarom bestaan ateïsme selfs?
"Littafi na ƙunshe da gargaɗai da yawa game da shan barasa (Littafin Firistoci 10:9; Littafin Lissafi 6:3; Maimaitawar Shari’a 29:6; Littafin Mahukunta 13:4,7,14; 1Samuila 1:15; Misalai 20:1; 31:4,6; Ishaya 5:11,22;24:9;28:7;29:9;56:12; Mika 2:11; Luka 1:15).",(wakorintho wa kwanza 6:12; petro wa pili 2:19).
"Duk da yake babu makawa wasu muhawara dangane da littafin Tsohon Alkawari, kafin A.D. 250 akwai kusan yarjejeniya ta duniya game da littafin Ibrananci.",Kulikuwa na mijadala ambayo hatuwezi kuikataa kuhusu kanoni (vitabu vya) Agano La Kale kufika mwaka wa 250 A.D (Baada ya Yesu kuzaliwa) kulikuwa na kubaliano la jumla juu ya kanoni ya Bibilia ya Kiyahudi.
"“Amma kuwa Allah na tabbatar mana da ƙaunar da yake mana, wato tun muna masu zunubi, Almasihu ya mutu dominmu” (Romawa 5:8).","“Bali Mungu aonyesha pendo lake yeye mwenyewe kwetu sisi, kwa kuwa Kristo alikufa kwa ajili yetu, tulipokuwa tungali wenye dhambi” (Warumi 5:8, TMP)."
Abinda Bulus ya damu da shi anan shine shaidar mai bi.,Mambo  ambayo Paulo yanamsumbua Paulo hapa ni ushuhuda wa Wakristo.
Fyaucewa wani al'amari ne mai ɗaukaka wanda ya kamata dukkanmu muna ɗoki.,Unyakuzi ni tendo la utukufu ambalo zote tunastahili kulithamani.
English,English
Ko ka yanke shawara domin Kiristi saboda abin da ka karanta anan?,"Je, umefanya uamuzi kwa Kristo kwa kile ulicho soma hapa?"
Maza da mata su kasance masu girmama juna da yin biyayya ga juna (Afisawa 5:21).,Mume na mke kwa ukomavu wanastahili kuwa wa heshima na kunyenyekea kwa wao wenyewe (Waefeso 5:21).
Amsa,Jibu
