en,sw
"Oh God, please save this party.","Eeh Mwenyezi Mungu, tafadhali, kisaidie chama hiki."
and is putting a bad image of Buddhism,na wanauwekea v-Buddha picha mbaya
"And as the world was coming to grips with what was happening on the ground, Egypt's bloggers were quick at work, exchanging updates, information, analysis and concerns.","Na wakati dunia ilipokuwa inaanza kufahamu ni kipi kilichokuwa kinatokea, wanablogu wa Misri waliingia kazini haraka, wakipashana habari za yanayotukia, taarifa, uchambuzi na hofu zao."
"As its name indicates, Congolese rumba has roots in Cuban rumba, which arrived in Congo in the 1930s.","Kama jina lake linavyoonesha, rumba lhili la ki-Kongo lina asili ya rumba la ki-Kuba, ambalo lilianza Kongo kwenye miaka ya 1930."
"Even if one of your family members get shot and falls down, you just have to keep running.""","Hata kama mmoja wa wanafamilia wako atapigwa risasi na kuanguka, utaendelea tu kukimbia"" Credit: Choi Seong-guk"
Photo by Roger Gwynn.,Picha na Roger Gwynn.
"More importantly, the government does not need to buy telephones for farmers because those among them who could use such phones, already have them.","Muhimu zaidi, serikali haina haja ya kununua simu kwa ajili ya wakulima kwa sababu wale kati yao ambao wanaweza kutumia simu hizo, tayari wanazo."
Facebook seems to have started playing an important role in Uzbek politics.,Facebook inaonekana kuanza kuchukua jukumu muhimu katika siasa za Uzbek.
Other top guerrilla members might have been caught in the 300 square-meter camp —which reportedly included an underground bunker— and the Colombian Armed Forces (mostly members of the Colombian Army and the Colombian National Police which landed after the combats ended) are identifying them as this post is being written.,Viongozi wengine wa juu wa wapiganaji hao gorila inawezekana kuwa walikamatwa ndani ya kambi hiyo yenye ukubwa wa mita za mraba 30 – ambayo inataarifiwa kuwa ilikuwa na mahandaki ya kuishi chini ya ardhi – na majeshi ya ulinzi ya Colombia (ambayo yalijumuisha zaidi wanajeshi wa jeshi la Colombia pamoja na Jeshi la Polisi la Taifa ambalo lilitua baada ya mapigano kumalizika) yanawafanyia utambulizi wakati makala hii ikiwa inaandikwa.
"Can you imagine news about Pearl Harbor waiting until some reporter sauntered in on the morning of Monday, December 8, 1941?","Unaweza kuona mazingira ambayo habari za Pearl Harbor zinasubiri mpaka mwandishi mmoja aje na ahabari zake siku za Jumatatu, Desemba 8, 1941?"
"@Mike, they say the house is not completed-there is a 10m high wall around that residence.","@Mike,wanasema kuwa nyumba haijamalizika kujengwa – kuna ukuta wenye urefu wa mita 10 unaozunguka nyumba hiyo."
The proceedings against the journalists have been marked by irregularities.,Mashtaka dhidi ya wanahabari hawa yamegubikwa na sintofahamu nyingi.
The Prime Minister is head of government while the king has ceremonial function.,Waziri Mkuu ni mkuu wa serikali wakati mfalme ni mkuu wa heshima.
Everyone is staying at home.,Kila mtu anajificha nyumbani.
People's memory is short.,Kumbukumbu za watu ni fupi.
"In 'Faces and Voices of an Election', Eduardo captures the thoughts and feelings of the Venezuelan people as they explain who they will vote for in the presidential election on Sunday, October 7, 2012.","Katika 'Sura na Sauti za Uchaguzi', Eduardo anavuta hisia na mawazo ya watu wa Venezuela anapowapa fursa ya kueleza ni mgombea yupi watamchagua katika uchaguzi wa rais uliofanyika Jumapili, Oktoba 7, 2012."
"An Egyptian blogger living in USA, Egyptian Wish, wrote a new post here saying: Dear Egyptians,","Mwanablogu wa Misri aishiye Marekani, Egyptian Wish, aliandika kwenye posti yake mpya hapa akisema:"
"Search the characters ""宮城"" (Miyagi) and a handful of different pictures come up from the prefecture, one of the hardest-hit in Japan by the recent tsunami.","Tafuta herufi hizi ""宮城"" (Miyagi) na picha chache zitatokea kutoka kwenye wilaya hiyo, moja ya maeneno yaliyoharibiwa sana nchini Japani baada ya tsunami."
An English literature professor from the little Mediterranean city of Tartous and a Syrian-Canadian writer on a trip to her mother country exchange glances at a cafe called Sea Breeze.,Profesa wa Fasihi ya Kiingereza kutoka mji wa mdogo wa Tartous huko Mediterranean na mwandishi mwenye asili mchanganyiko ya Siria na Canada wakiwa safarini kuelekea kwenye nchi yake ya asili wanatizamana wakiwa kwenye mgahawa unaoitwa Sea breeze.
The attack took place around midnight in a restaurant called La Terrasse in Downtown Bamako and a dozen people are seriously injured.,Shambulio hilo lilifanyika usiku wa maneno kwenye mkahawa unaoitwa took Terrasse kwenye mitaa ya Bamako na watu zaidi ya kumi wamejeruhiwa vibaya.
Anti-government protesters gather at a rally showing their loyalty to King Bhumibol Adulyadej.,Waandamanaji wanaoipinga serikali wakiwa wamekusanyika katika mkutano wa hadhara kumwuunga mkono Mfalme Bhumibol Adulyadej.
Many of us started photography in Flickr and specifically this group and even made life-long friends here.,Wengi wetu tulianza shughuli ya upigaji picha na kuzituma katika Flickr na hasa kundi hili na pengine kujipatia marafiki wa kudumu maishani humuhumu.
My vote in The Hague.,Kura yangu nikiwa The Hague.
"This year, the Miami-based Knight Foundation awarded a total of US$3,466,000 to projects responding to the question: ""How can we strengthen the Internet for free expression and innovation?""","Mwaka huu, taasisi ya Knight yenye maskani yake huko Miami ilitoa fedha kiasi cha dola za Marekani 3,466,000 katika miradi iliyolenga kujibu swali lililouliza: ""Ni kwa jinsi gani tunaweza kuimarisha mtandao wa intaneti kwa ajili ya uhuru wa kujieleza na ubunifu?"""
Sri Lanka's incumbent president Mahinda Rajapakshe's aggressive re-election campaign includes purchasing banner ads on leading global media sites.,"Kampeni kabambe ya Rais wa Sri Lanka aliye madarakani, Mahinda Rajapakshe inajumuisha manunuzi ya nafasi za matangazo katika tovuti mashuhuri za vyombo vya habari duniani."
"Photo by Laura Schneider, used with her permission.","Picha imepigwa na Laura Schneider, imetumiwa kwa ruhusa."
In some cases even their younger assistants did not know how to log on.,Clarke.
He also imagined how the hotel would treat him as an 'ex-president':,"Akafikiri Hoteli ingemhudumiaje akiwa ""Rais wa zamani"":"
The blood spilled will dissolve their brotherhood and they will be banished from political life,Damu inayomwagiga ndiyo imekisambaratisha chama hicho na kinajizika chenyewe kwenye medani za siasa
"The government attempted to dissuade people from joining the protests against the setting up of an OIC office; despite this, they were held October 15 in several cities across the country.","Serekali ilijaribu kuwashawishi watu wasijihusishe na maandamano ya kupinga kuanzishwa kwa ofisi ya OIC; pamoja na ushawishi huu, maandamano yalifanyika Oktoba 15 katika majiji kadhaa nchini kote."
from a 26% difference in the presidential election of 2006 we have moved to a weak 10%.,kutoka tofauti ya asilimia 26 katika uchaguzi wa rais wa mwaka 2006 sasa tumefikia katika tofauti ndogo ya asilimia 10.
"According to Alexander Osondu, the postponement is a violation of Nigeria’s constitution:","Kwa mujibu wa Alexander Osondu, kuahirishwa kwa uchaguzi kumekiuka Katiba ya Naijeria:"
The first thing to note is that these regulations are very unclear on several important points.,Kitu cha kwanza cha kuzingatia ni kwamba sheria hii haipo wazi kwa baadhi ya vifungu muhimu.
"It is useless to speak up, nothing will ever change?","Ni kazi bure ukiongea, hakuna kitakachobadilika?"
"As the conflict between the rebels of Sékéla and the national army of the Central african Republic rages on, tension mounts in the city of Bossangoa.","Kama mapigano baina ya waasi wa Sékéla na jeshi la taifa la Jamhuri ya Afrika ya Kati vinaendelea, mvutano katika mji wa Bossangoa."
The Goldenberg scandal is the longest-running corruption scandal in Kenya in which the Kenyan government subsidized exports of gold. The Goldenberg scandal cost Kenya the equivalent of more than 10% of the country's annual GDP.,Goldenberg ambayo serikali ilipunguza bei ya kuuza dhahabu nje ya nchi ndio kashfa iliyoendelea kwa muda mrefu na ilikuwa na gharama ya zaidi ya asilimia kumi ya kila mwaka ya pato la taifa.
This initiative angered the elders “Why are you talking about peace that you have never seen?”,Mkakati huu uliwakasirisha wazee kiasi cha kumuuliza “Kwa nini unaongelea amani ambayo hujawahi kuiona?”
We've had very constructive and open discussions with them and they have always been reiterating their commitment to global access if some of their candidates actually prove to be successful in the clinical trials that are going on [emphasis added].,Tumekuwa na mjadala wa kujenga na wazi nao na kila mara wamesisitiza kujitolea kwao kwa ufikavu kote duniani ikiwa baadhi ya chanjo zao zimepita majaribio ya kliniki yanayoendelea [msisitizo umeongezwa].
Chishala then posed some ways forward for Zambia:,Chishala aliandika kile alichofikiri ni suluhisho la kwenda mbele kwa taifa la Zambia:
"As a former state security minister, Mnangagwa also appreciated the importance and value of disinformation in Zimbabwes political terrain.","Kama waziri wa zamani wa usalama wa nchi, Mnangagwa pia alitambua umuhimu na nafasi ya upotoshaji taarifa katika nyanja za kisiasa za Zimbabwe."
We don't have single virus their so why Gambia ?,Hatuna hata kirusi kimoja hapa kwa nini sasa iwe Gambia?
"A home that i would pass on to them so they would in turn pass it on to their grandchildren; so that they would add to it a new life every time, just like every generation of our ancestors did.","Makazi ambayo ningewarithisha ili nao waje kuwarithisha wajukuu wao; ili wawe wanaiongezea nyumba maisha mapya kila wakati, kama ilivyo kwa kila kizazi cha mababu zetu walivyofanya."
Their first hearing is scheduled for 17 May.,Kesi imepangwa kusikilizwa kwa mara ya kwanza hapo Mei 17.
"Former South African intelligence minister Ronnie Kasrils, former South African Communist Party leader Vishwas Satgar and former deputy health and defence minister Nozizwe Madlala-Routledge launched their ""Vukani!","Waziri wa zamani wa usalama wa Afrika Kusini Ronnie Kasrils, kiongozi wa zamani wa Chama cha Kikomunisti cha Afrika Kusini Vishwas Satgar na aliyewahi kuwa naibu waziri wa Afya na Ulinzi Nozizwe Madlala-Routledge walizindua kampeni yao ya ""Piga kura ya hapana ya Vukani!"
"However, Fyzal took a more neutral stance on the issue.","Hata hivyo, Fyzal alichukua msimamo usiofungamana na upande wowote katika suala hili."
"Four days ago the CNDP rebels seized a major military camp at Rumangabo as well as the headquarters of the 3,000 square mile (7,800 square kilometer) Virunga National Park that is home to 200 of the 700 endangered mountain gorillas in the world.","Siku nne zilizopita waasi wa CNDP waliteka kambi kubwa ya jeshi huko Rumangabo kadhalika makao makuu ya Mbuga za Taifa za Virunga zenye ukubwa wa Maili Mraba 3000 (Kilometa za mraba 7,800) ambazo ni makazi ya sokwe wa milimani wapatao 200 kati ya jumla ya sokwe 700 wa aina hiyo duniani."
"After CNN wrongly placed Tanzania in Uganda and Nairobi in Nigeria on a map of East Africa, the Africa is a Country blog suggested that people switch off television news to make sense of the attack:","Baada ya CNN kukosea na kuiweka Tanzania kwenye eneo la Uganda na Nairobi kuonekana iko Nigeria kwenye ramani ya Afrika Mashariki, Blogu ya Africa is a Country blog ilishauri kwamba watu wazime televisheni zao ili waweze kuelewa shambulio hili:"
These families are caught between a rock and hard place: a declining Europe that rejects them and the mob that is getting richer,"Familia za Warumi zimejikuta mashakani: Ulaya, inayostahimili kuzorota kwa hali ya maisha, inawakataa, na mifumo ya kimafia inazidi kutajirika"
"The driver, having understood quicker than me what was the matter, is putting all his efforts into praying.","Dereva ambaye alielewa mapema zaidi yangu kuhusu kilichokuwa kikitokea, anajitahidi kuomba dua kwa nguvu zake zote."
"They burned our house. Only the clothes we wore were saved. According to the soldiers, the Lumad are not allowed to study.","Walichoma nyumba yetu. tulibakiwa tu na nguo tulizokuwa tumevaa. wanajeshi walidai kuwa, watu jamii ya Lumad hawapaswi kwenda shule."
Use it wisely.,Tumieni utafiti huu kwa busara.
What most people don’t know is that Madiba (as he is affectionately known in South Africa) spent 67 years in the fight against racism and poverty.,Kitu ambacho watu wengi hawajui ni kwamba Madiba (kama ambavyo wengi wanapenda kumwita huko Afrika ya Kusini) alitumia miaka 67 ya maisha yake katika kupiga vita ubaguzi wa rangi na umaskini.
"Tunisians were keen to cut all ties with the past, and the battle for democracy in Tunisia, did not stop with Ben Ali fleeing the country.","Wa-Tunisia walikuwa makini kukata mifungamano yoyote na utawala ulioangushwa, vita kwa ajili ya demokrasia nchini Tunisia, haikumzuia Ben Ali kuikimbia nchi. ."
This government is so ruthless.,Serikali ni katili mno.
However he seems to forget that in the past few weeks white South Africans have been constantly attacked by Julius Malema that cant seem to stop the racial hatred and blaming of white people.,Lakini ni kama amesahau kuwa wiki chache zilizopita watu weupe wa Afrika Kusini wamekuwa wakishambuliwa na Julius Malema na hilo halionyeshi kuwa linaweza kukomesha chuki za misingi ya rangi na kuwashutumu watu weupe.
This beautiful kind of duck became extinct a long time before a lot of us were even born.,Hii aina nzuri ya bata ilitoweka muda mrefu kabla wengi wetu hatujazaliwa.
Bad omen?,Ishara mbaya?
Today Candomblé is officially recognized and protected by the government of Brazil.,Hivi sasa Candomblé inatambulika rasmi na inalindwa na serikali ya Brazil.
"Despite Swahili being the most widely spoken African language, with approximately 150 million speakers mostly in East Africa, the Great Lakes region, southern Somalia, and some parts of Southern Africa, its visibility online is dismal.","Licha ya kuwa lugha ya Kiafrika inayozungumzwa sana, na takribani watu milioni 150 haswa katika Afrika Mashariki, kanda ya maziwa makuu, kusini mwa Somalia, na maeneo mengine ya kusini mwa Afrika, muonekano wa Kiswahili mtandaoni ni finyu."
Not everyone is gloomy about the situation.,"Hata hivyo, siyo kila mmoja amepoteza imani na hali hii."
"From Bahrain, Abo Omar Al Shafee draws parallels to Bahrain.","Kutoka Bahrain, Abo Omar Al Shafee alifananisha matukio hayo na hali ya mambo nchini Bahrain."
"They would say, ""Give me your money or we'll kill you,"" and they kept their word.","Walikuwa wakisema, “Nipe fedha uliyonayo, vinginevyo, ninakuua”, na hatimaye walitekeleza walichosema."
"The controversy has spread so far that René, vocalist in the popular Puerto Rican group Calle 13, commented on the incident:","Mtanziko huu umeenea mno kiasi kwamba René, muimbaji maarufu katika kundi la Puerto Rican Calle 13, alitoa maoni juu ya tukio hilo:"
"He dreams of becoming Minister of Transportation, and he’s chosen not to become a US citizen, so he can be poised to enter politics there.","Ana ndoto ya kuwa Waziri wa Uchukuzi na anapendelea kutokuwa raia wa Marekani, ili ajiahakikishie kuingia kwenye siasa huko Liberia."
"No matter how much money I can make in this country, whatever, I’m always going to be a black man in America.”","Bila kujali ni kiasi gani cha fedha ninakipata katika nchi hii, kwa vyovyote, nitaendelea kuw amtu mweusi nchini Marekani.”"
The conflict focuses on claiming the preservation and autonomy of the lands that they have inhabited for centuries and that are now being exploited for their natural resources:,Lengo la mgogoro huu ni kuhusu kutunza na kuwa na uhuru na ardhi waliyokuwa wanaitumia kwa karne nyingi na sasa zinatumiwa kama hifadhi zao za asili:
"We have fled for too long, Gaza is our last refuge and our home after we were displaced from what is now called Israel.","Tumekuwa tukikimbia kwa muda mrefu sana, Gaza ndiyo kwetu na ndiyo ngome yetu ya mwisho baada ya kupoteza makazi yetu kule panapoitwa Israeli hivi sasa."
"The founder of modern Turkey, Mustafa Kemal Atatürk, died there in 1938.","Mbunifu wa Uturuki ya kisasa, Mustafa Kemal Atatürk, alifariki akiwa kwenye Kasri hili mwaka 1938."
It is the 34th language available on the portal.,Ni lugha ya 34 inayopatikana katika chombo hicho.
They have their own potatoes.,Pia wana viazi mbatata vyao wenyewe.
"Indeed, PBS' Idea Lab takes a look at an Al Jazeera and Ushahidi collaboration to connect and empower Somalis separated by conflict and famine:","Kadhalika, Maabara ya Fikra ya PBS inaangalia ushirikiano wa Al Jazeera na Ushahidi katika kuwaunganisha na kuwawezesha waSomali waliotenganishwa na vita pamoja na ukame:"
"Last year on July 8, 2014, Ethiopia detained a number of local opposition leaders, bloggers, online activists and concerned citizens.","Mwaka uliopita mnamo Julai 8, 2014, Serikali ya Ethiopia iliwakamata viongozi kadhaa wa upinzani, wanablogu, wanaharakati wa mtandaoni na raia kadhaa wanaoguswa na mwenendo wa mambo nchini humo."
"Jordanian Human Rights Defender, Fadi Al-Qadi, tweeted:","Mtetezi wa Haki za Raia wa Jordan, Fadi Al-Qadi, alitwiti:"
The hashtag #M7Challenge has been used to show images of Ugandans and other people around the world taking calls by the roadside.,ALama ishara ya#ShindanolaM7 imetumiwa kuonesha picha za wa-Ganda na watu wengine duniani kote wakizungumza na simu zao pembeni mwa barabara.
"However, the opposition and Lasso's supporters are alleging fraud and calling for protests to demand a new count.","Hata hivyo, upinzani na wafuasi wa Lasso wanalalamikia udanganyifu katika matokeo na wanaitisha maandamano ya kutaka kura kuhesabiwa tena."
"Today there is a supply of food in Angola, one cannot say that today there is [serious] hunger in Angola, it is a question of some malnutrition.","Kwa sasa kuna chakula Angola, huwezi kusema kuna njaa [kali] kwa sasa, ni suala la utapiamlo kidogo tu."
"Nawaat Leaks Logo Those wishing to use Nawaat Leaks to leak classified information, will first need to download the online anonymity software Tor.","Nembo ya Nawaat Leaks Wale wanaotaka kutumia mtandao wa Nawaat Leaks ili kuvujisha taarifa nyeti, watahitaji kwanza kushusha zana ya kuficha utambuzi wa mtandao iitwayo Tor."
Adnan Ahmed Khan wrote:,Adnan Ahmed Khan aliandika:
What factors contribute to this figure?,"Je, ni sababu zipi zimechangia ongezeko hili?"
"Umami Dearest, a member of American online community MetaFilter, has also created a guide to animal cafes in Japan, and her website includes where to see capybaras in that country. Capybaras are big at Japanese animal-petting spots #capybara #gianthamster #wetcapybara http://t.co/8Re8C0LM49 pic.twitter.com/1lNZpHtFVC — Animal Cafes (@AnimalCafes) August 7, 2015","Umami Dearest, mwanachama wa jumuiya ya mtandaoni ya MetaFilter, ametengeneza mwongozo wa kwenda kwenye migahawa ya wanyama nchini Japani, na tovuti yake ina maelezo ya wapi unaweza kumwona kapibara nchini humo."
"Users of the public Facebook group ""This is Kiev, baby"" are making their displeasure known.","Watumiaji wa kundi wazi la mtandao wa Facebook liitwalo ""Hii ndiyo Kiev, mwana"" wamesikitishwa na hatua hiyo."
So Europe is his preferred destination for now.,Kwa hiyo Ulaya ndio mahali anapodhani panamfaa sasa.
"Congratulations to Samkeliso Kimbinyi, 15, the first student to gain an MTA qualification in software development pic.twitter.com/8JRfgXNynL — Microsoft Education (@microsofteduk) January 24, 2014","Hongera sana kwa Samkeliso Kimbinyi, miaka 15, mwanafunzi wa kwanza kupata sifa za kituo cha mafunzo cha Microsoft katika utengenezaji wa zana"
"Guinée's population, however, is coping valiantly with life's daily challenges, despite the risks, the sorrows, and the suspicion from the rest of the world.","Hata hivyo, raia wa Guinea wanaridhika na hali halisi ya changamoto za kimaisha zinazowakabili, hatari zilizopo, majonzi ikiwa ni pamoja na mataifa mengine duniani kuingalia Guinea kwa tahadhari kubwa."
The way Mills manages the aspirations of his own supporters and Ghanaians in general is the solution to these problems.,Namna Mills anavyodhibiti nia za mashabiki wake na Waghana kwa ujumla ni utatuzi wa matatizo haya.
"On Sunday George would neither confirm nor deny the moves, saying only that an announcement would be made soon.","Mpaka Jumapili iliyopita George hakuwa tayari kuthibitisha au kukanusha tetesi kuhusu juhudi hizo, alisema tu kwamba tangazo lingetoka katika siku za hivi karibuni."
"Especially the fisher folk communities, along the shore line which were wiped out by the storm surge Many communities were wiped out because of the storm surge, they need help to rebuild their lives, livelihood, materials to rebuild their homes and boats so they can continue living on. Also see Haiyan Devastates the Philippines, our special coverage page.","Pia, tembelea ukurasa wetu maalum kuhusiana na Kimbunga Haiyan, Haiyan yaharibu Ufilipino."
Robert Mugabe.,Robert Mugabe.
"Mexico City, February 16th.","Jiji la Mexico, Februari 16."
"Paraguayan President Fernando Lugo recently admitted that he is the father of Viviana Carillo's son, who was conceived when Lugo was still a Roman Catholic bishop.","Hivi karibuni rais wa Paraguai Fernando Lugo alikiri kuwa yeye ni baba mzazi wa mtoto wa Viviana Carillo, mtoto ambaye alitungwa wakati Lugo akiwa bado ni askofu wa Kanisa Katoliki la Roma."
The protests have so far left five people dead and dozens injured with bullets.,Maandamano hayo ya upinzani mpaka sasa yamesababisha vifo vya watu watano na na dazeni wengine kujeruhiwa kwa risasi.
"But others saw reason for concern, pointing out that although Jonathan's assumption of power might be a political necessity, it was not explicitly permitted by the Nigerian Constitution.","Lakini wengine wanaona sababu ya kuangalia, wakionyesha kwamba ingawa kukaimu madaraka kulikofanywa na Jonathan kunaweza kuwa na umuhimu wa siasa, haikuwa imeruhusiwa moja kwa moja na Katiba ya Naijeria."
The competition is organized by global grassroots endeavor Seven Natural Wonders and at this point includes 12 sites from across the African continent. Discover the shortlist and other suggested contenders which didn't make the cut this year.,Shindano hili limeratibiwa kwa juhudi za watu wa kawaida ulimwenguni kote walioanzisha Maajabu Saba ya Dunia na kwa sasa wanahusisha tovuti 12 kutoka barani kote.
"They believe fervently in Allah, the Quran and the Prophet Muhammad.","Wanamwamini Allah, kitabu kitakatifu cha Quran na Mtume Muhammad."
Subscribe: iTunes | Android | RSS,Podikasti: sikiliza katika dirisha jingine | Pakua
"Guinée, which was already in the throes of severe socioeconomic problems before the virus' outbreak, has suffered the brunt of the epidemic.","Guinea, ambayo tayari ilishakabiliwa na tatizo kubwa la kiuchumi miongoni mwa raia wake kabla ya kulipuka kwa ugonjwa huu, hadi sasa imeshaathiriwa vibaya na gonjwa hili. has suffered the brunt of the epidemic."
An Afghan child seems ready to be on camera.,Mtoto wa ki-Afghan akionekana tayari kutumia kamera.
"Now deceased, Abacha became infamous for his repression of human rights and corruption.",Abacha ambaye kwa sasa ni marehemu amekuwa sio maarufu miongoni mwa wananchi kwa sababu alikandamiza haki za binadamu na alikula rushwa.
"Since late 2016, Radio Garden has since been connecting listeners to an ever-growing list of broadcasts from across the globe.","Tangu mwishoni mwa mwaka 2016, Radio Garden imekuwa ikiwaunganisha wasikilizaji kwenye orodha ya vituo vya redio vinavyoongezeka kwa kasi kutoka sehemu mbalimbali ulimwenguni."
There was a heavy police presence in the village.,Palikuwa na idadi kubwa ya polisi katika kijiji hicho.
Let's go Uganda.,Tusonge mbele wa-Ganda.
During the late 1960s this nexus between politicians and the Tamil film industry reaped handsome dividends for Dravida Munnetra Kazhagam (DMK) and led to the formation of the first non-Congress government in the state.,Mwishoni mwa miaka ya 1960 makutano haya kati ya wanasiasa na nyanja ya filamu za Kitamil Nadu kuliivunia riba nzuri Dravida Munnetra Khazagam (DMK) na kulipelekea kuundwa kwa serikali ya kwanza isiyokuwa ya chama cha Congress jimboni humo.
According to a WHO 2015 report:,Kwa mujibu wa repoti ya WHO ya mwaka 2015:
#Ethiopia: #journalism is not terrorism.,Uandishi si ugaidi.
A time for people to express themselves,Wakati kwa watu kujieleza kwa
"While the recent WikiLeaks experience reveals aspirations to build ""information freedom zones"" with some help from Iceland , the Italian government seems to be heading in the opposite direction.","Wakati ambapo taarifa za siku za karibuni kutoka WikiLeaks zimeweka bayana hamu ya kuanzisha ""kanda za kieneo za uhuru wa habari"" kwa msaada fulani kutoka Iceland , Serikali ya Italia inaonekana kuelekea upande mwingine tofauti."
User KDNA15TV posted a video with the events:,Mtumiaji KDNA15TV aliweka video zinazozungumzia tukio hilo:
We do not get late night statements from the most powerful men and women alive and millions of online users.,Hatujapata salamu za pole zilizotolewa usiku wa manane kutoka kwa watu maarufu zaidi duniani pamoja na mamilioni ya watumiaji wa mtandao.
"Besides, Apple hardware is a closed box, without any transparency about what's happening inside.","Mbali na hivyo, mfumo wa nje wa Apple umefungwa vilivyo, na kukosekana kabisa kwa uwazi wa kinachoendelea ndani."
"I wanted to understand this cycle of violence and to show the disproportionate violence that some of these delinquents suffer as a result of their actions For the people of Dakar, this type of popular justice is a way to scare potential perpetrators and to deter them from coming back to their homes.","Nilitaka kuelewa mduara huu wa matumizi ya nguvu na kuonyesha namna matumizi haya ya nguvu kupita kiasi yanavyowaathiri vibaka shauri tu ya matendo yao yasiyokubalika kwa watu wa Dakar, na jinsi ambavyo adhabu za namna hii zinavyochukuliwa kuwa namna ya kuwaogofya waendelezaji wa vitendo hivi na kuwafanya wasirudi majumbani kwao."
This is true even in those countries that have never had term limits and those that have removed them in the past 15 years.,haya yameonekana hata kwenye nchi zile ambazo hazijawahi kuwa na ukomo wa vipindi vya urais na hata kwenye nchi zile zilizoondoa ukomo huo katika kipindi cha miaka 15 iliyopita.
Read and share stories about the case:,Soma na sambaza habari kuhusu kesi hii:
"""Unable To Meet"" by Tashi Dhondup from HPeaks on Vimeo.",“Unable To Meet” wa Tashi Dhondup kutoka HPeaks katika Vimeo.
This was just the latest stunt in a campaign against local power plants that's lasted years.,Hiki kilikuwa kitendo kipya kabisa katika kampeni dhidi ya vinu vya kufulia nishati zilizodumu kwa miaka kadhaa sasa.
"Laurent Binet - ""HHhH"" (stunning in so many ways) Zola - ""Thérèse Raquin"" (macabre and ahead of its time as is Candide!).","Laurent Binet - ""HHhH"" (kizuri sana kwa namna nyingi) Zola - ""Thérèse Raquin"" (kizuri na kiko mbele kwa wakati kama kilivyo cha Candide!)."
"We see this not only as a threat to our friend and colleague, but also to our broader mission.","Hatulitazami hili kama ni hatari tu kwa rafiki na mwenzetu, bali pia ni hatari kwa malengo yetu mapana."
The Catholic-dominated Philippines does not have a divorce law.,Nchi hii yenye Wakatoliki wengi haina sheria ya talaka.
A court date is yet to be assigned - 100 days after his arrest.,Tarehe ya mahakama bado haijawekwa - siku 100 baada ya kukamatwa kwake.
As we LGBT individuals deserve.,Kama watu wapendao mapenzi ya jinsia moja wanavyostahili.
"Interestingly, it was also Grupa which popularized the clown memes after police warned an activist artist that the latter is being monitored for tweeting a clown image of Najib.","Katika hali ya kustaajabisha, ilikuwa pia tovuti ya Grupa iliyosambaza ujumbe wa kejeli na baadae polisi kumtaadharisha mwanaharakti ambaye ni msanii wa uchoraji kuwa tovuti ya Grupa inachunguzwa kwa kutuma ujumbe wa kejeli wa Najib kupitia mtandao wa Twitter."
Twitter was also flooded with funny slogans by Palestinian protesters.,Mtandao wa Twita pia ulifurika misemo mingi ya utani iliyowekwa na waandamanaji wa Palestina.
Is it for real?,"Je, mabadiliko haya ni ya kweli?"
Which will be absent in the marriage.,Vitu ambavyo vitakosekana katika ndoa hii.
"Several members had collaborated with Global Voices to write and translate stories into the Amharic. As members of the community, Global Voices campaigned and mobilised the global human rights community to speak out about their case from the very first night they were arrested.",Wanachama mbalimbali walitoa ushirikiano kwa Global Voices kuandika na kutafsiri hadithi Kiamhari.Kama wanachama wa jumuiya Global Voices nayo ilifanya kampeni sambamba na kuhamasisha jumuiya ya haki za binadamu kiduni kwanzia usiku wa kwanza walipokamatwa .
"The DWB doctors and psychologists that have tended to them since their release have advised that they be given some time to recuperate and adapt to day to day life once again, meaning people will have to wait some time before they can talk about what they lived through these 21 months in captivity.","Madaktari DWB pamoja na wanasaikolojia wamewahudumia tangu kuachiliwa kwao wameshauri kwamba wapewe muda wa kupata nafuu na kukabiliana na pilika pilika za maisha kwa mara nyingine tena, kumaanisha kwamba watu watasubiri kwa muda kabla hawajaweza kuzungumza kuhusu jinsi walivyoishi utumwani katika miezi hii 21."
Screenshot of reahu.net site being filtered by Cambodia's Internet Service Providers,Picha ya tovuti ya reahu.net inavyochujwa na watoa huduma za intaneti nchini Kampuchea.
Buhari made the statement himself.,Buhari amezungumza kwa kinywa chake
"So far the casualty reports from Haiti's earthquake have focused on the terrifying statistics, but very few names had been attached to those numbers.","Mpaka sasa taarifa za majeruhi wanaotokana na tetemeko la ardhi lililoikumba Haiti zimejikita kwenye takwimu za kutisha, lakini ni majina machache tu ndiyo yameambatanishwa kwenye namba hizo."
"The government’s program of “villagization” is forcibly removing at least 200,000 Indigenous people from their ancestral lands in the Gambella region and relocating them in new state-built villages.","Mpango wa Serikali wa “kuunda vijiji vipya” unawaondoa kwa nguvu wenyeji wasiopungua 200,000 kutoka kwenye ardhi yao ya asili katika maeneo ya Gambella na kuwahamishia kwenye vijiji vilivyojengwa na serikali."
"@DJLBCZambia: So have decided, ladies and gentle Herve ranard's Zambian middle name is ""Madalitso""","@DJLBCZambia: Kwa hiyo, tumeambua, mabibi na mabwana, kuwa jina la kati la Herve Renard la Kizambia ni ""Madalitso"""
"The app currently does not have a privacy policy available to the public, in which it explains to users its data collection and sharing practices.","Kwa sasa, huu pragramu-tumizi hauna sera ya faragha inayopatikana kwa umma, ambapo inaelezea watumiaji kanuni za kukusanya na kushiriki data."
It won 161 of the 214 parliament seats.,Kilishinda viti vya bunge 161 katika viti 214.
