yo,sw
Igbesi aye won fi han wa wipe Bibeli ni otito oro Olorun.,Maisha yao na vifo vyao vinathibitisha ya kwamba kweli biblia ni Neno la Mungu.
Se o da pea won eniyan fe ma lo e fun elo ti won?,"Je, ni kama watu wanakutumia tu kwa manufaa yao?"
Ọlọ́run kò nílò tàbí bèére rẹ̀ lọ́wọ́ àwọn Kristiẹni.,Mungu haitaji au kuamuru Wakristo wafunge.
Nígbà wo ni a ńgba Ẹ̀mí Mímọ́?,Ni wakati gani tunaupokea Roho Mtakatifu?
"Bi aposteli Paulu se so, ‘A ko se eyi ni ikoko’ (ise Awon Aposteli 26;26).","Kama mtume Paulo alvyosema, “mambo haya hayakufanyika pembeni” (Matendo 26:26)."
"Àwọn awòye Ọjọ́'rú gbàgbọ́ wípé ""Ọjọ́ ìsinmi"" yìí jẹ́ Ọjọ́ ìrékọjá (wo Lefitiku 16:29-31, 23:24-32, 39, níbití àwọn ọjọ́ mímọ́ ńlá tí kìí ṣe ọjọ́ ìsinmi ọ̀sẹ̀ ti jẹ́ ọjọ́ ìsinmi).","Wanaoshikilia Jumatano wanasisitiza ya kwamba hii “sabato” ilikuwa pasaka (soma Mambo ya Nyakati 16:29-31, 23:24-32, 39 mahali ambapo siku kuu si lazima ni ile ya saba ya juma tunaambiwa kwamba ni sabato)."
"Awon Aposteli si lo si ita lati kede iroyin ayo pelu awon enia ni ede won, ‘awa gbo nwon nsoro ise iyanu nla Olorun lie de wa!” (Ise Awon Aposteli 2:11).","Mara ya kwanza kuongea kwa ndimi kulitendeka katika siku ya pentekote katika matendo ya mitume 2:1-4. mitume wakatoka nje kutangaza injili kwa makutano huku wakiongea kwa ndimi zao wenyewe, ‘tunawasikia wakitangaza maajabu ya Mungu kwa lugha zetu wenyewe!” (matendo ya mitume 2:11)."
Bẹ́ẹ̀ni.,Naamu.
Ìṣòro àti mọ àkójọpọ̀ Bíbélì ni pé Bíbélì kò fún wa ní àkójọ àwọn ìwé tó wà nínú Bíbélì.,Ugumu wa kutambua kanoni ya Kibibilia (Vitabu vinavyostahili kuwa katika Bibilia) ni kwamba Bibilia haitupi idadi ya vitabu vinavyostahili kuwemo katika Bibilia.
O ni lati je atunbi.,"Je, hii hutokea vipi?"
Ṣíṣe àkójọpọ̀ jẹ́ ètò tí àwọn olùkọ́ àti ọ̀jọ̀gbọ́n Júù kọ́kọ́ ṣe lẹ́yìn náà ní àwọn Onígbàgbọ́ àkọ́kọ́ ṣeé.,Kuitambua kanoni ya Bibilia ulikua mjakato wa walimu wa Kiyahudi na wachanganusi wa Bibilia na kisha baadaye wale Wakristo wa kwanza.
"Efesu 4:30 wipe, “eniti a fi se edidi nyin de ojo idande.” Ti onigbagbo o ba ni igbala ayeraye, edidi naa ki yio je idande ayeraye, sugbon titi de ona elese tabi aigbagbo.",Waefeso 4:30 inatuambia waumini “wamehifadhiwa kwa ajili ya siku ya ukombozi.” Kama waumini hawangekuwa na uasalama wa milele kuhifadhiwa kwao kungekuwa si kwa kudumu na kungeisha tu siku ile ya kufanya dhambi ama kutoamini.
Kò sí ibi tí Bíbélì ti ṣe àkọsílẹ̀ ènìyàn tí ó ńfi àdúrà gbígbà gba ìgbàlà.,Hakuna mahali Biblia imeandikwa mtu alipata wokovu kwa kuomba.
"Sugbon, a le mu awon ori iwe Bibeli ki a si soro lori re.",Nogtans kan ons wel sekere algemene Skriftuurlike beginsels as voorbeeld neem om so ‘n bietjie lig op die onderwerp te laat val.
"Idariji je ipinnu lati ma ni ikunsinu si enikeni, lai ka iwa ti won ti wu si wa tele.","Neno “kusamehe” lahusu kuchukua hatua ya kutupilia mbali makwazo ya nyuma na kuanza upya, kuwia radhi, au kufuta deni linalodaiwa."
English,English
3) Ṣé ìwé náà wà ní ìbámu pẹ̀lú ẹ̀kọ́ ẹ̀sìn àti àbáláyé tó se déédé?,Kitabu kilikua na mafunzo ya kweli?
Idariji ese yi ni lati ni igbagbo.,"Toba hii ni sharti iambatane na imani-tukimaanisha, imani yakuwa kifo cha Yesu cha kujitoa na ufufuo wake wa kimuujiza inamwidhinisha Yeye kuwa mwokozi wako."
Ìdí nìyẹn tí Jésù fi ní láti kú ní ipò wa.,Ndio sababu Yesu akafa kwa ajili yetu.
"À má ńsábà lo èrò ìràpadà ní àkókò ìjínigbé, nígbàtí wọ́n bá jí ènìyàn gbé tí wọ́n sì gbé e pamọ́ títí di ìgbà tí owó ìdásílẹ̀ ẹni bẹ́ẹ̀ bá jẹ́ sísan.","Dhana ya fidia mara nyingi yatumika  katika matukio ya utekaji nyara, wakati mtu ametekwa nyara na kuzuiliwa mateka hadi fidia ilipwe kwa huyo mtu aachiliwe."
Ìpọ́njú náà jẹ́ àkókò ọdún méje ní ọjọ́ iwájú nigbà tí Ọlọ́run yóò parí ìbáwí Rẹ̀ lórí Isrẹli tí yóò sì pinnu ìdájọ́ Rẹ̀ lórí ayé aláìgbàgbọ́.,Matezo ni kipindi cha miaka saba kijao cha wakati ambao Mungu atamaliza kuwaadhibu  Waisraeli na kumalizia hukumu yake kwa ulimwengu usioamini.
"Bíbélì náà sọ fún wa wípé nígbàtí àwọn ẹni méjì bá ṣe ìgbéyàwó, wọn di ara kan (Jẹnẹsisi 2:24; Matteu 19:5).","Bibilia inatuambia kwamba, wakati watu wawili wanaoana, wanakuwa mwili mmoja (Mwanzo 2:24; Mathayo 19:5)."
Pada si oju ewe Yorùbá,English
"Nigbati won ba ti so fun wa wipe a ni igbala nipa igbagbo, lai je nipa ise owo (Efesu 2: 8-9), Paulu so fun wa wipe, a da wa lati se ohun rere (Efesu 2:10).","Baadaya kutufahamusha ya kwamba tunaoklewakwa imani pekee wala sio kwa matendo (Waefeso 2:8-9), Paulo anatuarifu ya kuwa tuliumbwa tufanye kazi njema (Waefeso 2:10 )."
Èyí kìí tún ṣe ìbéèrè wípé báwo ni Ẹ̀mí Mímọ́ ṣe le fún ẹnìkan ní ẹ̀bùn ìyanu.,Pia hili si swali la kama Roho Mtakatifu anampa mtu miujiza ya Roho ya vipawa.
"Wọ́n fa Támárì ní ìgbeyàwó fún arákùnrin Ẹ́rì, tíí ṣe Ọ́nánì, ní ìbámu pẹ̀lú òfin ìgbeyàwó ìṣúpó tí ó wà nínú Deutarọnọmi 25:5-6.","Onani hakutaka kugagwanyisha urithi wake kwa mtoto yeyote ambaye angemzalia nduguye, kwa hivyo akatumia mtindo wa zamani wa upangaji uzazi, wa kutoa nje."
Ìdàgbà ti ẹ̀mí ní ọ̀nà láti dàábi Jésù Kristi síwájú àti síwájú síi.,"Kukua kiroho ni njia moja ya kumfanana Kristo, na kutubadilisha kuwa mfano wake."
Idahun,English
Pínpín ìhìnrere pẹ̀lú ẹlòmíràn lè nira ó sì tún wà lè nira gan-an nígbà tí ó bá nííṣe pẹ̀lú ẹni tí o súnmọ̀ ni típẹ́-típẹ́.,Om die boodskap met ander te deel is moeilik en dit kan self nog moeiliker wees indien daar a hegte en emosionele verband bestaan.
Báwo ni ikú Jésù ṣe tó láti san gbogbo gbèsè ẹ̀ṣẹ̀ wa?,Kifo cha Yesu kingewezaje kulipa deni ya dhambi zetu kikamilifu?
Ó ṣeé ṣe.,Pengine.
"Láti ""tọ́"" tọ́kasí òfin àkọ́kọ́ tí bàbá àti ìyá fún ọmọ, tí í ṣe, ẹ̀kọ́ òwúrọ̀.","Hii inatuleta katika Methali 22:6, “Mlee mtoto katika njia impasayo, Naye hataiacha, hata atakapokokuwa mzee.” “kumlea” inaonyesha yale maagizo ya kwanza ambayo baba na mama wanampa mtoto, kwa mfano, elimu yake ya mapema."
Ìdí kejì bá Bíbélì mu.,Sababu ya pili ni ya kibibilia.
"Bẹ́ẹ̀ni, àwọn àyọkà kan wà tí ó nira.","Naam, kuna kurasa gumu kuelewa."
"Bí olóògùn olóró ti ńgbọ́dọ̀ mu ọ̀pọ̀ ìwọ̀n ògùn náà tàbí ògùn tí ó l'ágbára síi láti lè dé ìpele ""gíga,"" bẹ́ẹ̀ni wíwo àwòrán ènìyàn ní ìhòhò ńsún ènìyàn wọnú àti sínú ìbálòpọ̀ líle àti ìfẹ́kùfẹ́ àìwàbíọlọ́run.",Kama vile mtumiaji wa vileo lazima ayachukue zaidi na zaidi na viwango vya juu vya madawa ili afikie upeo wa “juu” ponografia yamvuta mtu kwelekea ngono na kuwa mazoea na haja sizizo za kiungu.
Àkọsílẹ̀ gidi wà fún ìwà bárakú ti wíwo àwòrán ènìyàn ní ìhòhò.,Hali ya utawaliwa wa  na ponografia imeandikwa vizuri sana.
English,English
"Se o ti si orisirisi ilekun to je wipe ofo ati pe ko ni itumo, ohun ti o ba nibe ni yen?","Je, umejaribu njia nyingi na kutambua ya kwamba kile ulichokitarajia hakipo ndani yake?"
Àwọn àrídájú tí ó pọ̀ wà tí ó tayọ ti inú Bíbélì tí ó tọ́ka sí àjálù àgbáyé bíí ìkún omi àgbáyé.,Kunayo dhibitisho nyingi za Kibibilia ambazo zinalenga pigo kubwa la kiulimwengu kama vile gharika ya ulimwengu mzima.
Ẹni tí ó bá ti ní ìrírí ore-ọ̀fẹ́ Ọlọ́run nítòótọ́ yóò ní ojú àánú sí àwọn ẹlòmíràn.,Mtu ambaye kwa kweli amehisi neema ya Mungu vilevile naye pia atakuwa wa neema kwa wengine.
"Ní àwọn ìgbà kan, gbogbo Kristiẹni ti ní mọ̀lẹ́bí kan, ọ̀rẹ́ kan, olùbáṣiṣẹ́pọ̀ kan, tàbí ojúlùmọ̀ tí kìí ṣe Kristiẹni.","In elke Christen se lewe is daar familie, vriende, mede werkers of mense wat nie Christene is is nie (ongelowiges)."
Ọ̀pọ̀lọpọ̀ àwọn àrínyànjiyàn tí ó dára fún wíwà Ọlọ́run ni ó wà.,Daar is baie goeie argumente vir die bestaan van God.
Kò sí ẹníkẹ́ni tí ò lè dá ṣe ẹlẹ́rí Jésù tí ó ńṣe iṣẹ́ ìyanu kí ó sì wá fi agbára náà pe ti sátánì dípò ti Ẹ̀mí.,Hamna mtu atakaye shuhudia Yesu Kristo akitenda miujiza na kudai kwamba nguvu hizo ni za Shetani badala ya Roho Mtakatifu.
"Ìpín yíyàn náà hàn kedere: ""Ẹnikẹ́ni tí ó bá gbàgbọ́ nínú Ọmọ ní ìyè àìnípẹkun, ṣùgbọ́n ẹnikẹ́ni tí ó bá kọ Ọmọ náà kì yí ò rí ìyè, nítorí ìbínú Ọlọ́run ḿbẹ lórí ẹni bẹ́ẹ̀"" (Johannu 3:36).","Hali pekee ambayo mtu hawezi kuwa na msamaha ni ikiwa ako kati ya wale, “yeyote atakaye mwamini” kwa maana ni yule amemkataa Mwana.”"
"Ṣùgbọ́n, ní ìgbà míìrán, bíí ti ìdábòbo ẹ̀tọ́ wa (gẹ́gẹ́ bí àpẹẹrẹ ti àpọ́stélì Pọ́ọ̀lù), ó lè tọ̀nà láti máa lépa ọ̀nà àbáyọ ní ìlànà òfin.","Ingawa katika hali zingine, kama vile kulinda haki zetu (ndio mfano wa Mtume Paulo), inaweza kuwa sawa kwa kutafuta suluhisho kisheria."
Èyí jẹ́ ìmùrasílẹ̀ náà tí gbogbo onígbàgbọ́ nìlò láti mùrasílẹ̀ fún ẹ̀bùn nlá nì tí à ńpè ní ìgbéyàwó.,Huko ndiko kujiandaa kila Mkristo anastahili kujitayarisha kwa zawadi  ambayo twaiita ndoa
Olorun ri gbogbo ohun esu o si binu si; a si ma n soro nipa ina pelu emi mimo re ninu iwe Bibeli.,"Ana nguvu na anatenda kila kinachompendeza bila kutoka nje ya hali zake timilifu (Ufunuo wa Yohana 19:6; Yeremia 32:17, 27)."
"Àfihàn ìrònúpìwàdà àti ìgbàgbọ́ wà nínú Tẹsalonika Kínní 1:9—""Ẹ̀yín ti yípadà sí Ọlọ́run kúrò nínú ère.""",Beide word tekenne gegee in 1 Thessalonicense 1:9—“… jul van die afgode bekeer het tot God.” ‘n Christen sal sy ou lewenswyse en enigiets wat op valse godsdiens betrekking het agterlaat as die gevolg van ‘n opregte bekering tot Christenskap.
Eyi je nipa bi a se da wa (1 Timoteu 2:13 ) ati bi ese se wa si ile aye (2 Timoteu 2:14).,Hii ni kwa sababu ya vile wanadamu walivyoumbwa (Timotheo wa kwanza 2:13) na pia kwa jinsi ile dhambi ilivyoingia duniani (Timotho wa pili 2:14).
"Ranti wipe, gbigba adura yi tabi adura mi ran ko le gba o o la.","Wokovu unapatikana kwa kupokea tuzo ambayo Mungu ameipeana, sio kwa kuomba ombi."
English,English
Pada si oju ewe Yorùbá,Rudi kwa ukurasa wa nyumbani wa Kiswahili
Tabi iwo yio si duro die latir i gba.,Na sasa utajuaje mapenzi yake juu yako?
"Jesu wipe, loto loto ni mo wi fun o, bikose a fi omi ati emi bi enia, o n ko le wo ijoba Olorun.","Aweza kuingia tumboni mwa mamaye mara ya pili akazaliwa?” Yesu akajibu, “Amin, Amin, nakuambia: Mtu asipozaliwa kwa maji na kwa Roho, hawezi kuingia ufalme wa Mungu."
"Ona orun apadi sit obi gan, ati wipe opolopo enia ni o le wo be (Matteu 7; 13).",Akaahidi kwa yeyote atakeyemwamini anao uzima wa milele (Yohana 3:14-15).
A kò kó àwọn ènìyàn lẹ́rú nítorí orílẹ̀ tàbí àwọ̀ ara wọn.,Watu hawakupelekwa mateka kwa sababu ya utaifa wao au rangi ya ngozi yao.
"Kíyèsi wípé ohun tí àwa nílò wá ""nípasẹ̀ ìmọ̀ wa nínú Òun,"" èyí tí ó jẹ́ kókó láti gba ohun gbogbo tí a nílò.","Kumbuka kwamba chenye tunahitaji kinakuja “kupitia ufahamu wetu kwake,” ambao ndio funguo wa kupata chochote tunachohitaji."
"Ìfẹ́ máa ńdáríjí ""Bí àwa bá jẹ́wọ́ ẹ̀ṣẹ̀ wa, olóòtọ́ọ́ àti olódodo li Òun láti dárí ẹ́ṣẹ̀ wa jì wá, àti láti wẹ̀ wá nù kúrò nínú àìṣòdodo gbogbo"" (1 Johannu 1:9).","“Tukiziungama dhambi zetu, Yeye ni mwaminifu na wa haki hata atuondolee dhambi zetu, na kutusafisha na udhalimu wote.” (1Yohana 1:9)."
"Igba ti enia ba si ti di olododo, igbala re si ti wa- ko si ni dababo nitoripe o da bi pe won ti gbe ga ni orun.",Anapofanywa kuwa mwenye haki wokovu wake ni imara kama aliyetukuzwa tayari mbinguni.
"Gẹ́gẹ́ bí a ṣe jogún àbùdá ara láti ọ̀dọ̀ àwọn òbí wa, a jogún àwọn àbùdá ẹ̀ṣẹ̀ wa láti ọ̀dọ̀ Adamu.","Vile tunavyo rithi tabia zinazoonekana kwa nche kutoka kwa wazazi wetu, vilevile tulirithi hali yetu ya dhambi kutoka kwa Adamu."
Sugbon a ni lati mo wipe a fe sin gidi gan ni.,Wewe pia kama Petro unataka kufanya mema lakini huna nguvu yakutosha kufanyia hayo.
"Nínú Titu 2:4, ọ̀rọ̀ Gíríkì philoteknos farahàn fún ìyá bí wọ́n ṣe ńfẹ́ràn àwọn ọmọ wọn.",Hili neno linadhihirisha “upendo wa mama” maalumu.
"Kristiani gidi je omo Olorun ni toto, ebi omo Olorun, eni ti si fun ni igbesi aye titun ninu Kristi.",Rudi kwa ukurasa wa nyumbani wa Kiswahili
"Ní ìkẹhìn, bí ó tilẹ̀ jẹ́ wípé, ìbéèrè yìí wà láàrín ọkọ, ìyàwó àti Ọlọ́run láti pinnu.","Hatimaye, ingawa hili swali linaweza amuliwa kati ya mume na mke na Mungu."
Ẹ̀kọ́ nípa Ọlọ́run ni ẹ̀kọ́ nípa bíi Ọlọ́run ṣe ńfi ara Rẹ̀ hàn ní sáà kọ̀ọ̀kan kọ́ wa wípé àwọn ènìyàn Ọlọ́run tí ó yàtọ̀ méjì ló wà: Isrẹli àti Ìjọ.,Teolojia ya mfumo wa dini wafunza kuwa kuna aina mbili tofauti ya watu wa Mungu: Israeli na kanisa.
"Òtítọ́ náà ni wípé, a kò tíì fìdíi rẹ̀ múlẹ̀ wípé àwọn pílánẹ́tìì fi ààyè gba nǹkan tí ó ní ẹ̀mí.","Ukweli ni huu, kuwa kati ya hizi sayari zote hakuna ile ambayo imewai thibitishwa kuwa inaweza kukimu maisha."
Ìgbìmọ̀ Hippo (ọdún 393 lẹ́yìn ikú Kristi) ati ìgbìmọ̀ Carthage (ní ọdún 397 lẹ́yìn ikú Kristi) náà fi ìdí ìwé 27 kańnáà múlẹ̀.,Kikao cha Hippo (A.D 393) na kikao cha Carthage (A.D. 397 pia vyathibitisha vitabu hivi 27 kuwa na pumzi ya Mungu.
"Nígbàtí ó bá padà, yóò mú gbogbo ègún kúrò láti ìgbà Ádámù (Ifihan 21–22).","Wakati atakapo rudi, ataiondoa laana ambayo imekuwa ikidumu tangu Adamu (Ufunuo 21-22)."
Awon elomiran si pe Behemoti ni eranko bi erin tabi esin odo.,Biblia inataja viumbe wengine ambao wanaitwa behemoth.
"Bákannáà a kò gbọ́dọ̀ ba àgọ́ ara wá jẹ́ nípa níní ìbálòpọ̀ láì tìí ṣe ìgbéyàwó (1Kọrinti 6:9, 13; 2 Timoteu 2:22).","Pia hatustahili kuichafua miili yetu kwa kufanya usherati (1 Wakorontho 6:9, 13; 2 Timotheo 2:22)."
"A júwe ìgbà ìkẹyìn gẹ́gẹ́ bíi ""ìgbà ewu"" nítorí wípé ìwà búburú ènìyàn yóò máa pọ̀ si àti àwọn tí ń ""kọ̀yìn sí òtítọ́"" gidigidi (2 Timoteu 3:1-9; tún wo 2 Tẹssalonika 2:3).","Siku za mwisho zimeelezewa kuwa kama, “nyakati za kuogofya” kwa sababu ya kuongezeka kwa maovu kwa mwanadamu na watu wanaoendelea “kukataa ukweli” (2 Timotheo 3:1-9; angalia pia 2 Wathesalonike 2:3)."
"Bí ó tilẹ̀ jẹ́ wípé àwọn ọ̀rọ̀ "" ìbádọ́rẹ̀ẹ́"" àti ""ìbáṣepọ̀"" náà ni a kò ríi nínú Bíbélì, a fún wa ní àwọn ìlànà kan èyítí o yẹ kí àwọn Kristiẹni sì tẹ̀lé ní àkókò tí ó ṣáájú ìgbeyàwó.","Ingawa neno “uchumba” halipatikani katika Bibilia, tumepewa kanuni kwamba Wakristo wanastahili kupitia kabla ya ndoa."
"Okan kan ninu won buru, elemi okuku, ati elese.","Biblia inataja watu wanne waliojiua: Sauli (samueli wa kwanza 31:4), Ahithofeli (samueli wa pili 17:23), Zimri (wafalme wa kwanza 16:18), na Yuda (Mathayo 27:5)."
"Ṣùgbọ́n, ète Ọlọ́run ni ìkẹhìn fún Isrẹli—láti mú Mesiaah wá sínú ayé—ni a mú ṣẹ ní pípé nínú Ẹni Jésù Kristi.",Hata hivyo lengo lake kabisa kwa Israeli- lile la kuleta Masia katika ulimwengu- lilitimizwa kikamilifu katika Kristo Yesu.
Ọlọ́run kò fẹ́ kí Ádámù àti Éfà dẹ́ṣẹ̀.,Mungu hakutaka Adamu na Hawa watende dhambi.
"Gbígbàdúrà ní orúkọ Jésù túmọ̀ sí gbígbàdúrà pẹ̀lú àṣẹ Rẹ̀ àti bíbèérè lọ́wọ́ Ọlọ́run Baba láti ṣiṣẹ́ lórí àwọn àdúrà wa nítorí a wá ní orúkọ Ọmọ Rẹ̀, Jésù.","Kuomba katika jina la Yesu, yamaanisha kuomba kwa mamlaka yake na kumwomba Mungu Baba kutendea maombi yetu kwa sababu tunakuja kwa jina la Mwanawe, Yesu."
Emi Mimo je ohun ifihan fun olukaluku enia lati lati fi jere (1 Korinti 12:7-11).,Roho mtakatifu hufanya maamuzi kutokana na mapenzi yake mwenyewe (Wakorintho wa kwanza 12:7-11).
"Fun emi, o ye ki o je ibere awon ti ko gbagbo.",Mimi nafikiri ingewapasa wale hawaamini watuthibitishie.
"Nitori iku li ere ese: sugbon ebun ofe Olorun ni iye ti ko nipekun, ninu Kristi Jesu Oluwa wa (Romu 6:23).","“Kwa maana mshahara wa dhambi ni kifo; lakini zawadi anayotoa Mungu ni uhai wa milele katika kuungana na Kristo Yesu, Bwana wetu” (Warumi 6:23, BHN)."
Nje o ti se ipinu fun Kristi nitoripe ohun ti o ti ka ninu oju ewe yi.,"Je, umefanya uamuzi kwa Kristo kwa kile ulicho soma hapa?"
Ọ̀pọ̀lọpọ̀ gbàgbọ́ wípé ìdáhùn sí àdúrà ni kí Ọlọ́run dáhùn ẹ̀bẹ̀ àdúrà ti wọn ba bẹ Òun.,Watu wengi wanaamini kwamba maombi yaliyojibiwa ni Mungu kukujibi ombi lo lote lilowekwa kwake.
"Ní gbogbo ọ̀nà, a nílò ìtẹríba: fún ọmọ onílùú sí ìjọba, agbo sí olùṣọ́-àgùntàn, ìyàwó sí ọkọ, ọmọ sí baba.",Tena aya hii yasema kuwa mke anastahili kufuata mfano wake na kumtii mume wake.
Báwo ni àwọn ọmọ-ẹ̀hìn Rẹ̀ ṣe ṣe sí ìwáàsù yìí?,Je wanafunzi wake walijibu namna gani kuhusu ujumbe huu?
"Àwọn tí wọ́n ni ìrẹ̀wẹ̀sì ọkàn lè ní ìrírí ìmọ̀lára ìbànújẹ́ tí ó pọ̀, ìbínú, àìnírètí, àárẹ̀ àti onírúurú àwọn àmìn míìrán.","Wale wanaotezeka kutokana na majonzi wanaweza kuhisi huzuni, hasira, kukosa tumaini, uchovu, na aina ya dalili zingine nyingi."
"Èyi, pẹ̀lú àkójọpọ̀ omi tí ó wà lábẹ́ ilẹ̀, tí a tú sí orílẹ̀ ayé (Jẹnẹsisi 2:6) ni ó gbọ́dọ̀ yọrí sí ìkún omi àgbáyé.","Hii ni pamoja na safu ya maji katika chini ya ardhi, ambayo yameachiliwa kuja juu ya nchi (Mwanzo 2:6) ungechangia gharika ya ulimwengu."
Bíbélì kò mẹ́nuba sìgá mímu ní tààrà.,Bibilia moja kwa moja hiataji uvutaji sigara.
Johannu 3:16 àti 3:36 jùmọ̀ kéde wípé fífi ìgbàgbọ́ rẹ sínú Rẹ̀ yóò yọrí sí ìyè ayérayé!,Yohan Mtakatifu 3:16 na 3:36 zote zatangaza ya kwamba kuweka imani yako kwake yaleta uzima wa milele.
"Àfiwé pẹ̀lú ""gẹ́gẹ́ bí sí Olúwa"" tún rán ìyàwó létí wípé àṣẹ tí ó ga jùlọ wà tí òun ní ojúṣe sí.",Matthew Henry aliandika: “Mwanamke aliumbwa kutoka kwa ubafu wa Adamu.
English,English
"Bi ati so tele, Oluwa ma n lo awa omo eniyan ni bi kibi lati le ko oro re.",Mungu aliwatumia watu wa tabaka mbalimbali kuandika habari hizi.
Oríṣi ẹ̀ṣẹ̀ míìrán ni a mọ̀ sí ẹ̀ṣẹ̀ ìkàsíni l'ọ́rùn.,Aina nyingine ya dhambi inaitwa dhambi ya kuambukizwa.
A lè fi ìkẹ́kọ̀ọ́ Bíbélì wé wíwá wúrà.,Kuichunguza Bibilia kunaweza linganishwa kuchimba migodi/dhaabu.
"Nitori naa, anu Oluwa ko ni je ohun ti oje- ominira ati aini” (Romu 11:6).","Mara kadhaa, Yesu alizungumza juu ya Yeye kuwa njia ya pekee ya kufika Mbinguni tofauti na Yohana 14:6."
"Ní tòótọ́, àtubọ̀tán ìbáwí gbọ́dọ̀ jẹ́ fún rere ọmọ, kò sì gbọdọ̀ jẹ́ ìdáláre láti ṣe àṣìlò àti ìlòkulò àwọn ọmọ.",Kweli maonyo malengo yake lazima yawe ya manufaa kwa mtoto na kamwe yasitumike kuidhinisha dhuluma kwa mtoto.
"Bóyá, àwọn ìyàwó ọmọ Nóà jẹ́ ẹ̀yà tó yàtọ̀.",Pia inaweza wezekana kuwa mke wa Nuhu alikuwa wa rangi tofauti mbali na ile ya Nuhu.
Olorun si ti pe okonrin nikan lati wa ni ipo oluko ti emi ninu ijo re.,Mungu ameidhinisha waume wahudumu katika nyadhifa za mafundisho yenye mamlaka ya kiroho katika kanisa.hii si kwa sababu wanaume ni walimu bora au kuwa wanawake ni watu duni.
"Bi Olorun, Emi Mimo je olutunnu ati oluko ni ti Jesu wipe ohun yio je (Johannu 14:16, 26;15:26).","Kama Mungu, Roho mtakatifu anaweza kufanya kazi ya msaidizi na mshauri kama vile Yesu kristo aliyevyoahidi kuwa atakuja kufanya (Yohana 14:16,26; 15:26)."
"Bẹ́ẹ̀ni, àwọn Kristiẹni jẹ́ alágàbàgebè láti dá ẹ̀ṣẹ̀ kan l'ẹ́ẹ̀bi kí á sì faramọ́ òmííràn, ṣùgbọ́n, èyí kò mú kí sìgá mímu bu ọlá fún Ọlọ́run.","Naam, Wakristo mara nyingi ni wanafiki kwa kushutumu dhambi moja na kuikubali nyingine, lakini tena hii haifanyi uvutaji kumweshimu Mungu."
"Bí àyè fún iyèméjì bá wà wípé bóyá inú Ọlọ́run dùn sii, ohun tí ó dára jù ni kí á gba kámú.","Jaribio zuri ni lile linaloamua ikiwa tunaweza kwa kweli, kwa fikira safi, kumuuliza Mungu atubariki na kutumia kazi hiyo kwa lengo lake zuri."
"Ṣùgbọ́n bí àwọn ìtumọ̀ kan ṣe lo ""ní ọjọ́ kẹ̀ta"" fún àwọn ẹsẹ yìí, kìí ṣe gbogbo wọn ló ṣe bẹ́ẹ̀, kìí sí ṣe gbogbo ènìyàn ló f'aramọ́ wípé ""ní ọjọ́ kẹ̀ta"" ni ọ̀nà tí ó dárajù láti túmọ̀ ẹsẹ wọ̀nyìí.","Tafusiri zingine zinapotafusiri “katika siku ya tatu” kwa hizi aya, si zote, na si kila mmoja anakubaliana kwamba “siku ya tatu” ndio njia nzuri ya kutafusiri aya hizi."
"Fún ìyẹn, kò sí àwọn ìhùwàsí òtítọ́ pátápátá ní ìkẹhìn, kò sí àṣẹ fún pípinnu bóyá ìwà kan bá èyí tí ó tọ́ tàbí tí kò tọ́, dára tàbí kò dára.","Kwa sababu ya hiyo, hamna maadili halisi, hamna mamlaka ya kuamua kama tendo ni la kujenga au kupomoa, zuri au baya."
Olorun ti darijiwa gaa ni.,Mungu ametusamehe mengi.
Ẹnití ó nbẹ ninu yín tóbi ju ẹnití ó nbẹ ninu ayé lọ (1 Johannu 4:4),Yeye aliye ndani yetu ni mkuu kuliko aliye dunia (1 Yohana 4:4).
"Àkorí rẹ̀ míìrán ni èṣù tí ó túmọ̀ sí ""ẹlẹ́gàn.""","Jina lake linamaanisha Mwenye “majanga” au “mpingamizi.” Majina yake mengine ni, Ibilisi kumaanisha “mdanganyaji.”"
"Ṣe ìrántí wípé, ìlérí tí Ọlọ́run ṣe fún Dáfídì ńni láti wá sí ìmúṣẹ kò sì tíì wá sí ìmúṣẹ.","Salomo kon dus nie die belofte wat aan Dawid gemaak was, vervul nie."
A mo wipe awon eniyan ma wa ti won ko gbagbo ninu Oluwa ati oro re.,Tunajua kuwa wengine watasoma ushahidi huu na mawazo yao wenyewe na baada ya kuufahamu vyema wakubali.
Tani wa lati jinyan pelu oro Olorun nipa ohun ti Jesu se tabi ti ko so?,Hii ina maana ya kuwa Yesu ni Mungu katika mwili.
"Ikini, a ni lati mo pe awa ti dese si Oluwa: “Gbogbo enia li o ti se, ti won si kuna ogo Olorun” (Romu 3:23).","Kwanza, ni sharti tutambue yakwamba tumetenda dhambi kinyume chake Mungu: “Kwasababu wote wamefanya dhambi, na kupungukiwa na utukufu wa Mungu” (Warumi 3:23, TMP)."
"Ti o b a je wipe yahweh ni won gun ni oko, ti won si wo, ti o si je wipe Jesu ni won gun ni oko ti won si wo, Jesu si ni Yahweh naa.","Kama ni Yahweh mwenye kupasuliwa na mwenye kutazamwa, na Yesu ndiye aliyepasuliwa na kutazamwa basi Yahweh ni Yesu."
