Idariji ko see fi eto gba tabi ti owo ra lati odo Olorun.,"Yesu alifufuka katika wafu, akishuhudia ushindi Wake juu ya dhambi na mauti (1 Wakorintho 15:1-28)."
"A nílò láti ráńtí wípé ara wa, àti ọkàn wa, ti di ìràpadà ó sì jẹ́ ti Ọlọ́run.","Tunastahili kukumbuka kwamba miili yetu, hata nafsi zetu, zote zimekombolewa na zote ni za Mungu."
Àwọn ọmọ-ẹ̀hìn àti àwọn ìyókù rí ibojì níbi tí wọ́n sín sí.,Wanafunzi wa Yesu na wengine waliliona kaburi alimozikwa Yesu.
Bawo ni enia se le ni Emi Mimo?,Je mtu hujazwaje na Roho Mtakatifu?
"A ki se, ti awa ba wa nikan, o ye ki a ma lo ohun ti o wa fun wa.",Tunasoma tu kiasi cha kupata mtazamo Fulani juu ya wokovu lakini hatuongezi juhudi zozote katika kutafakari kwetu mara kwa mara kiasi cha kutufanya tuwe na afya nzuri kiroho.
"Nígbàtí àyípadà ti ìgbàlà bá ti wáyé, ìdàgbà ti ẹ̀mí ti bẹ̀rẹ̀.","Wakati ubadilisho wa wokovu unafanyika, ukuaji wa kiroho unaanza."
"Bí ó tilẹ̀ jẹ́ wípé ìṣe búburú yẹn pa ọkùnrin aláìṣẹ̀ nì, a gba ìgbàlà wa.","Kama inaielewa injili, iamini kuwa ni kweli, na umpokee Yesu kama mwokozi wako, ni vizuri kunuia kudhihirisha imani hiyo kwa Mungu katika maombi."
Àkọ́kọ́ ni wípé a gbọ́dọ̀ pìnyà kúrò ní ojú ìwòye ti ayé lórí ìbádọ́rẹ̀ẹ́ nítorí ọ̀nà ti Ọlọ́run tako ti ayé (2 Peteru 2:20).,Kanuni ya kwanza ni kwamba ni lazima tutafautishe mtazamo wa dunia kuhusu uchumba kwa sababu mtazamo wa Mungu wahitilafiana na ule wa dunia (2 Petero 2:20).
Àwọn nǹkan wọ̀nyìí ni ó yẹ kí ó kún ayé wa nísìnyí tí àwa ti ní ìrírí ìgbàlà nínú Jésù Kristi.,Hizi ndizo zinastahili kutambua maisha yetu kwa vile tumekwisha pata wokovu katika Yesu Kristo.
Àkọ́kọ́ ni àyípadà ìyanu nínú àwọn ọmọ-ẹ̀hìn.,Kwanza ni kule kubadilika kwa ghafula kwa mitume.
"Láì lè yẹ̀bá fún, èrò ènìyàn kan nípa ohun tí ó tọ̀nà kò ní pẹ́ kọlu ti ẹlòmíràn.",Hakika mtu mmoja hisia zake za kweli hivi karibuni zitahitilafiana na za mwingine.
Matteu 28:19 ati 2 Korinti 13:14 je gege bi apere enia meta ninu Metalokan.,Mathayo 28:19 na wakorintho wa pili 13:14 ni mifano ya nafsi tatu katika Mungu mmoja.
"Ní ọ̀rọ̀ míìrán, tí a bá fẹ́ gbé ìgbé-ayé l'ẹ́kùnrẹ́rẹ́, gẹ́gẹ́ bíi Ọlọ́run ṣe fẹ́, àwa gbọ́dọ̀ gbọ́ràn sí Ọ̀rọ̀ Ọlọ́run tí a kọ kí a sì kíyèsi.","Kwa njia nyingine, kama tunataka kuishi maisha tele, vile Mungu alikwisha panga, lazima tusikize na kutii chenye kimeandikwa katika neno lake."
"Bẹ́ẹ̀ni, àwọn Kristiẹni jẹ́ alágàbàgebè láti dá ẹ̀ṣẹ̀ kan l'ẹ́ẹ̀bi kí á sì faramọ́ òmííràn, ṣùgbọ́n, èyí kò mú kí sìgá mímu bu ọlá fún Ọlọ́run.","Naam, Wakristo mara nyingi ni wanafiki kwa kushutumu dhambi moja na kuikubali nyingine, lakini tena hii haifanyi uvutaji kumweshimu Mungu."
Ko si ohun rere ti a le se lati wo orun (Titu 3;5).,"Yeye ndiye mtu ambaye Mungu ame “mtukuza juu sana” kuliko watu wote (Wafilipi 2:9, KCV)."
O kò lè ní ife ibi kan. Ibi kò ní ibùgbé ti ara rẹ̀; ní òtítọ́ ó jẹ́ àìsí rere.,Ouvu hauwezi kujitegemea; ni kutokuwa na uzuri halisi.
"Àwa máa ńwo àwọn nǹkan láti ìwò ẹ̀ṣẹ̀, ti ayé, àti fún ìgbà díẹ̀.","Twavitazama vitu kutoka hali ya dhambi, kidunia au mtazamo wa muda."
Ibere yi je ohun ti o pin omo leyin Kristi ati esin kristianiti miran.,Lile swali watu hupingana kwalo ni juu ya imani na matendo.
"Sugbon awon ohun ti won ri tabi iwe ako si le, je ki a mo wipe gbogbo ohun ti o sele ninu Bibeli lati igba si igba je otito.","Kupitia watafiti wa mabaki ya vitu vya kale na vitabu vyengine vilivyoandikwa, ratiba ya kihistoria katika biblia imehakikishwa mara kwa mara kuwa ya kweli."
Ayé rẹ̀ sì bẹ̀ẹ̀rẹ̀ sìí ní ṣe ọ̀tun láti ọjọ́ yẹn lọ síwájú.,Sy lewe het van daardie dag af verander.
"Jésù ò lọ sí ibi ìpayínkeke lẹ́yìn ikú Rẹ̀, ṣùgbọ́n Òun lọ si hades.","Wakati Yesu alipaa mbunguni, aliwachukua wa hudumu wa paradiso waliokuwa waumini pamoja naye kwenda mbunguni (Waefeso 4:8-10)."
Anu mi si se gbogbo awon ti won ti ro lati pa ara won.,Nia yangu inawalenga wale ambao wana azima ya kujiua.
"Nje ti Bibeli ba je oro Olorun ni toto, a ni lati gbagbo, ko ni pa re, tele ofin re, ki a si ni ireti ninu re.","Kama biblia kweli ni neno la Mungu, basi natulifurahie, tulisome, tulitii na kuliamini."
Ọlọ́run kò nílò tàbí bèére rẹ̀ lọ́wọ́ àwọn Kristiẹni.,Mungu haitaji au kuamuru Wakristo wafunge.
Pada si oju ewe Yorùbá,Terug na die Afrikaanse tuisblad
"Nígbàtí ojúṣe ìyá ńyí padà àti wípé ó ńpọ̀si, ìfẹ́, ìkẹ́, ìgẹ̀ àti àdúrótí tí ìyá fún ni, kò gbọ́dọ̀ dáwọ́ dúró.","Huku ikiwa ni jukumu la mama lazima libadilishwe na liansishe, upendo, ulezi, utunzi, na utiaji moyo mama anaowapa watoto kamwe usikome."
Èyíí gbé gbèdéke lé orí àjọyọ̀ náà—títí ìpadàbọ̀ Olúwa.,Hii inaweka kadirio la wakati kwa sherehe hii- hata Yesu ajapo.
Ìfojúsí òfin àti ìrúbọ ẹ̀sìn ní ìsòro.,Kuzifuata sheria na tamaduni za dini ndio shida.
"Ní àkótán, ìjọ kìí ṣe ilé kan tí a kọ́ tàbí ẹ̀yà ijọ kan. Gẹ́gẹ́ bí Bíbélì ti sọ, ìjọ jẹ́ ara Kristi—gbogbo àwọn tó gbé ìgbágbọ́ wọn lé Jésù Kristi fún ìgbàlà.","Kanisa la Kibaptisiti, Kilutheri, Katholiki na mengine, si kanisa, vile iilvyo katika kanisa la ujumla, bali haya ni makanisa ya nyumbani (Mshambani/Mjini), ule mwili wa nyumbania wa waumini."
Omutipara je ohun ti a le ma le fi sile.,Kunywa kileo kingi kunaathiri mtu.
A kò lè tẹnumọ́ pàtàkì Bíbélì jù sí ayé wa.,Inaweza sizitishwa ya kutosha umuimu Bibilia ikonayo kwa maisha yetu.
3) Àwọn nǹkan burúkú máa ńṣẹlẹ̀ sí àwọn ẹni rere ṣùgbọ́n àwọn nǹkan burúkú yẹn máa ńpèsè àwọn onígbàgbọ́ fún iṣẹ́ ìránṣẹ́ tí ó jinlẹ̀.,"Naamu, wakati mwingine mambo maovu huwapata watu wanaoneka hawastahili kuyapata."
Àwọn ìrírí wà l'ójoójúmọ́ fihàn wá wípé àwọn àlàyé yìí gúnrégé tí wọn sì ṣe àpèjúwe ipò ènìyàn ju ìwé èrò-inú-ọkàn kankan lọ.,Uzoefu wetu wa siku baada ya siku watuonyesha habari hii yaweza kuaminika haina kasoro yoyote na inaelezea hali ya mwanadamu na ni kitabu cha kiakili.
Ko ye o bi?,"Je, umechanganyikiwa?"
Ìdí kejì bá Bíbélì mu.,Sababu ya pili ni ya kibibilia.
"Ẹnití ó bá ni Ọmọ, ó ní ìyè; ẹnití kò bá sì ní Ọmọ Ọlọ́run, kò ní ìyè.","Yeye aliye naye Mwana, anao huo uzima; asiye naye Mwana wa Mungu hana huo uzima."
"Láti ojú ìwòye yìí, dájúdájú ó ní ""ìtumọ̀"" ju, láti jẹ́ aìgbàpé Ọlọ́run wáà ju oní iyèméèjì náà lọ.","Vanuit hierdie perspektief, maak dit beslis meer “sin” om ‘n teïs te wees as ‘n agnostikus."
Ile aye yi ko wulo fun o mon….,Hata hivyo kujiua kutasaidia tu kuleta huzuni na upweke kwa wale wakupendao ambao hukutaka kuwaudhi wala wahuzunike na kusababisha Makovu mengine ambayo yatadumu maishani mwao mwote.
Àwọn ìwé àti ojú-ìwé lórí ayélujára tún wà tí ó tako gbogbo àwọn àṣìṣe tí a lérò wọ̀nyìí náà.,Pia vitabu na mitandao amabayo inapinga au mtu yeyote mwenye aliye na kasoro yoyote kuhusu Bibilia.
"Kókó ìpele mẹ́ta ẹ̀ṣẹ̀ ni ìfẹ́kùfẹ́ ara, ìfẹ́kùfẹ́ ojú àti ìrera ayé (1 Johannu 2:16).","Viwango vitatu pekee vya dhambi ni tama ya mwili, tama ya macho na kiburi cha maisha (1 Yohana 2:16)."
"Bákannáà, Ọlọ́run fẹ́ kí àwọn ọmọ Rẹ̀ dàbi Jésù Kristi síi àti síwájú sí.","Vile vile, Mungu anataka watoto wake zaidi na zaidi kama Yesu Kristo."
Ohun tí ìgbàgbọ́ ẹni ńdojúkọ fún ìgbàlà ti jẹ́ Ọlọ́run láti ìgbàgbogbo.,Mungu amekuwa sehemu ya wokovu wa mtu kila wakati.
"A pè wá láti jí ìhìnrere fún àwọn tí ó ti sọnù, kìí ṣe láti wà ní tímọ́tímọ́ pẹ̀lú wọn.","Tumeitwa kuwahubiria injili wenye wamepotea, sio kuwa na uhusiano wa kimapenzi nao."
Kò bá ìlànà Bíbélì mu láti sọ wípé Ọlọ́run tako ìjìyà ikú nínú gbogbo ìṣẹ̀lẹ̀.,Litakuwa jambo lisilo la kibibilia kusema kwamba Mungu anapinga hukumu ya kifo katika mamna yote.
"Ti a ba se eyi, a si yori ninu gbogbo ti Kristi fe ki ase, “Nitori eyi ni ife Olorun, pe ki awa ki o pa ofin re mo: ofin re ko si nira” ( 1 Johannu 5:3).","Tukifanya mambo haya mawili kwa uaminifu wa moyo, kila kitu kitakuwa sawa."
Ó yé ọ̀pọ̀lọpọ̀ ènìyàn wípé Jésù jẹ́ ọkùnrin tí ó gbé ní orílẹ̀-èdè Isrẹli ní nǹkan bíi ẹgbẹ̀rún (2000) ọdún sẹ́yìn.,Watu wengi wanaelewa kuwa Yesu alikuwa mt ambaye aliishi Israeli miaka 2000 iliyopita.
"Àwọn olùtúmọ̀ Hébérù ní ṣàájú ati àkọsílẹ̀ tí ó wọ́pọ̀ ṣùgbọ́n tí kìí ṣe òtítọ́ àti àwọn àkọsílẹ̀ tí kìí ṣe ti Bíbélì tí a ńpè ni ti Bíbélì fẹnukò nípa àfojúsùn tó sọ wípé ańgẹ́lì tí ó ti ṣubú ni ""àwọn ọmọ Ọlọ́run"" tí a sọ nípa nínú Jẹnẹsisi 6:1-4.","Wafafanusi wa kwanza wa Kiibrania na unabii wa mafumbo na uandishi wa jumla wote wako pamoja  wakishikilia mtazamo kuwa, malaika walioanguka walikuwa “wana wa Mungu” vile imetajwa katika Mwanzo 6:1-4."
"Gẹ́gẹ́ bíi Ọlọ́run, ikú Jésù jẹ́ iye tí kò ṣeé díyelé, tí ó tó láti san gbèsè àwọn ẹ̀ṣẹ̀ gbogbo ayé (1 Johannu 2:2).","Kama Mungu, kifo cha Yesu dhamani yake ni ya milele, ambayo yatosha kulipa deni ya dhambi ya dunia yote (1Yohana 2:2)."
"Àwò fínífíní ti ipò àwọn ẹ̀kọ́ wọn lórí àwọn kókó bíi jíjẹ́ Ọlọ́run ti Kristi, ìgbàlà, Mẹ́talọ̀kan, Ẹ̀mí Mìmọ̀, àti ìwẹ̀nùmọ́ ńfihàn tayọ iyèméjì kan tí wọn kò dì mú, sí ìdúró àwọn Kristiẹni àtijọ́ lórí àwọn kókó wọ̀nyìí.","Kwa kuutafakari kwa karibu sana msimamo wa kanuni yao kwa masomo kama, mwili wa Kristo, wokovu, utatu wa Mungu, Roho Mtakatifu na upatanisho wa Mungu na mwanadamu yaonyesha bila shauku yoyote kuwa hawashikilii kanunu ya msimamo wa Kikristo katika masomo haya."
O so wipe- Emi Mimo ni Olorun.,Kwa kifupi biblia inasema kwamba Roho mtakatifu ni Mungu.
"Wọ́n fa Támárì ní ìgbeyàwó fún arákùnrin Ẹ́rì, tíí ṣe Ọ́nánì, ní ìbámu pẹ̀lú òfin ìgbeyàwó ìṣúpó tí ó wà nínú Deutarọnọmi 25:5-6.","Onani hakutaka kugagwanyisha urithi wake kwa mtoto yeyote ambaye angemzalia nduguye, kwa hivyo akatumia mtindo wa zamani wa upangaji uzazi, wa kutoa nje."
Báwo ni a ṣe le mọ̀ dájú wípé a ńlọ sí ọ̀run?,Hoe kan ons verseker weet dat ons een van die gaan wees wat die ewigheid in die hemel gaan deurbring?
"Kí Ádámù àti Éfà ba lè jẹ́ òmìníra ní tòótọ́, wọ́n nílò láti lè ṣe ìpinnu.","Ili Adamu na Hawa wawe huru, walistahili kuwa na chaguo."
"Romu 13:1-7 sọ wípé, ""Ki olukuluku ọkàn ki o foribalẹ fun awọn alaṣẹ ti ó wà ni ipo giga.","Warumi 13:1-7 yasema, “Kila mtu na aitii mamlaka iliyo kuu; kwa maana hakuna mamlaka isiyotoka kwa Mungu; na ile iliyopo umeamriwa na Mungu."
Ninu iwe bibeli li o dahun ibere yi ni Johannu 3;1-21.,Sehemu kamilifu katika Bibilia inayo jibu swali hili ni Yohana 3:1-21.
Ọlọ́run dá àwọn ọmọ nínú ìyá wọn (Orin Dafidi 139:13-16).,Mungu anawajua watoto kabla wazaliwe (Yeremia 1:5; Wagalatia 1:15).
Àwọn ìjínhìn yìí ni ohun tí àwọn ènìyàn ńkọ̀ sílẹ̀ nígbà tí wọ́n bá kọ òtítọ́ pátápátá.,Huu uwajibikaji ndio watu wanakataa wakati wanakata ukweli halisi.
"Fun emi, o ye ki o je ibere awon ti ko gbagbo.",Mimi nafikiri ingewapasa wale hawaamini watuthibitishie.
Níbí a rí àwọn ọmọ ogun tí wọ́n ṣiṣẹ́ tí ó lọ́wọ̀—gbígbà àti dídáàbòbò àwọn aláìṣẹ̀.,Hapa tunaona jeshi ambalo limejiami na kujuhuzisha katika jukumu muimu-kuokoa na kulinda wasio na hatia.
Tabi nibo li emi o sare kuro niwaju re?,ama nitakimbilia wapi mbali na uwepo wako?
"Nitorina ẹ san ohun ti o tọ fun ẹni gbogbo: owo-ode fun ẹniti owo-ode iṣe tirẹ̀: owo-bode fun ẹniti owo-bode iṣe tirẹ̀; ẹ̀rù fun ẹniti ẹ̀rù iṣe tirẹ̀; ọlá fun ẹniti ọlá iṣe tirẹ̀.""","Wapeni wote haki zao; mtu wa kodi, kodi; mtu wa ushuru, ushuru; astahiliye hofu, hofu; asahiliye heshima, heshima.”"
"Kò sí pàsíípàrọ̀ fún pínpín ìhìnrere náà ní àwa tìkàlára wa: ""Njẹ nípa gbígbọ́ ni ìgbàgbọ́ ti i wa, àti gbígbọ́ nípa ọ̀rọ̀ Ọlọ́run"" (Romu 10:17).","Soos Saint Francis van Assisi gesê het, “Preek die evangelie altyd en wanneer nodig is, gebruik woorde”."
A lè tán ìmọ̀lára ìrẹ̀wẹ̀sì ọkàn nígbà tí àwọn tí ó ní ìrẹ̀wẹ̀sì ọkàn bá gbé ojú kúrò lára wọn tí wọ́n sì tẹjú mọ́ Kristi àti ẹlòmíràn.,Hisia za majonzi zinaweza tatuliwa kila mara wakati wale walio na hisia za majonzi wanasongesha  mawazo kutoka kwa wenyewe hadi kwa Kristo ana wengine.
"Fún àkọsílẹ́ ní ẹ̀kúnrẹ́rẹ́ lórí gbèdéke yìí, wo Deutarọnọmi 34.",Deuteronomium 34 toon hierdie grense duidelik aan.
"Kò sí ohun tí ó burú nínú lílo ètò ilé-ẹjọ́, níwọ̀n ìgbà tí a bá ṣeé pẹ̀lú èròńgbà ọkàn tí ó tọ̀nà, àti pẹ̀lú ọkàn mímọ́.",Hakuna makosa yo yote kwa kutumia mfumo wa kotini bora ufanywe kwa nia njema na roho takatifu.
"Eyi je ohun ti awon eniyan ma n so, otito be ni wipe, oniro ni gbogbo won.","Hatakama hiyo kauli yawezaleta makwazo katika kizazi hichi cha kisasa kila waisikiapo, lakini kweli yake haibadiliki."
Adura elese je adura enia I an gba si Olorun nigba ti won ba mo wipe elese ni awa a si fe irapada.,Ombi la mwenye dhambi ni Ombi ambalo mtu huomba kwa Mungu wakati anapotambua yakwamba yeye ni mwenye dhambi na anahitaji Mwokozi.
Ọlọ́run ńpè wá láti jọ́sìn sí Òun nínú ohun gbogbo pẹ̀lú ìgbọràn.,Mungu anatuita kwa unyenyekevu tumtumikie katika mambo yote.
"Ìwé Efesu 1:13-14 kọ́ wa wípé Ẹ̀mí Mímọ́ ni èdìdì fún ìgbàlà fún gbogbo àwọn tí ó gbàgbọ́: ""Nínú ẹnití, ẹ̀yin pẹ̀lú, nígbàtí ẹ̀yin ti gbọ́ ọ̀rọ̀ òtítọ́ nì, ìhìnrere ìgbàlà yín, nínú ẹnití nígbàtí ẹ̀yin ti gbàgbọ́ pẹ̀lú, a fi Ẹ̀mí Mímọ́ ìlérí nì ṣe èdìdì yin.""","Ndiye aliye arabuni ya urithi wetu, ili kuleta ukombozi wa milik yake, kuwa sifa ya utukufu wake.”"
"Ogo ni fun Olorun, tori wipe iku ati ajinde Jesu, gbala keji iwe Romu 6:23 je otito wipe, … Sugbon ebun Olorun ni iye ainipekun nipase Jesé Kristi Oluwa wa.","Na Mungu asifiwe, kwani kwa kupitia kifo na kufufuka kwake Yesu Kristo, Warumi 6:23b yathibitika kwa kusema, “…bali karama ya Mungu ni uzima wa milele katika Kristo Yesu Bwana wetu”  (TMP)."
"Ní àkókò kańnáà, a gbàgbọ́ jinlẹ̀jinlẹ̀ wípé sìgá mímu jẹ́ ẹ̀ṣẹ̀ tí a gbọdọ̀ kọ̀ sílẹ̀ àti, pẹ̀lú ìrànlọ̀wọ̀ Ọlọ́run, borí.","Wakati huo huo, tunaamini kwa udi na ufumba kwamba uvutaji ni dhambi ambayo tunastahili kuiacha na kwa usaidizi wa Mungu tuushinde."
Ẹsẹ yìí sọ àtubọ̀tán àìbá ọmọ wí—ojú yóo ti àwọn òbí náà.,Aya hii yaorodhesha madhara ya kutomrudi mtoto kwa mzazi zimekataliwa.
“Sugbon ebun ofe Olorun ni iye ti ko nipekun ninu Jesu Kristi Oluwa wa (Romu 6;3 ).,"“zawadi anayotoa Mungu ni uhai wa milele katika kuungana na Kristo Yesu, Bwana wetu’’ (Warumi 6:23b, BHN)."
"Nígbà tí ó wá ní àkọ́kọ́, Jésù Kristi wá sí ayé bí ọmọ kékeré nínú ibùjẹ ẹran ní Bẹ́tílẹ́mù, gẹ́gẹ́ bí a ti ṣọ tẹ́lẹ̀.","Katika kukuja kwake mara ya kwanza, Yesu Kristo akaja ulimwenguni kama mototo katika zizi la ng’ombe katika Bethlehemu, vile ilikuwa imetabiliwa."
Ohun àkọ́kọ́ tí ó ṣe pàtàkì jùlọ ni ọ̀kan ìgbọ́ràn sí Ọlọ̀run àti sí Ọ̀rọ̀ Rẹ̀.,Cha kwanza na muimu ni utiifu kwa Mungu na neno lake.
"Lẹ́hìn àwọn ohun wọ̀nyìí, a gbọ́dọ̀ ní ìgboyà nínú pínpín ìhìnrere àwa gan-an.","Baada ya haya yote, lazima tuwe wajasiri katika kushiriki kwetu injiri."
"Òtítọ́ náà ni wípé, a kò tíì fìdíi rẹ̀ múlẹ̀ wípé àwọn pílánẹ́tìì fi ààyè gba nǹkan tí ó ní ẹ̀mí.","Ukweli ni huu, kuwa kati ya hizi sayari zote hakuna ile ambayo imewai thibitishwa kuwa inaweza kukimu maisha."
"Bákannáà, àwọn ènìyàn ló Ifihan 6:10 gẹ́gẹ̀ bí ọ̀rọ̀ ẹ̀rí: àwọn ajẹ́rìíkú ìpọ́njú ké sí Ọlọ́run láti gbẹ̀san ikú wọn.",Rudi kwa ukurasa wa nyumbani wa Kiswahili
Love does not delight in evil but rejoices with the truth.,"Ìfẹ́ kìí yọ̀ sí àìṣòdodo, ṣùgbọ́n a máa yọ̀ nínú òtítọ́."
"Ǹjẹ́ a fi baptismu sínú ikú sin wá pọ̀ pẹ̀lú rẹ̀: pé gẹ́gẹ́ bí a ti jí Kristi dìde kúrò nínú òkú nípa ògo Baba bẹ́ẹ̀ni kí àwa kí o máa rìn li ọ̀tun ìwà.""","Basi tulizikwa pamoja kwa njia ya ubatizo katika mauti yake, kusudi kama Kristo alivyofufuka katika wafu kwa njia ya utukufu wa Baba, vivyo hivyo na sisi tuenende katika upya wa uzima.”"
"Nígbàtí o bá yípadà kúrò nínú ẹ̀ṣẹ̀ rẹ sí Kristi, Ọlọ́run ṣe àwọn ìlérí láti gbà ọ́ là àti láti fún ọ ní Ẹ̀mí Mímọ́, Ẹni tí yóò fún ọ ní ìgbé-ayé titun.","Wanneer jy van die sonde wegdraai na Christus toe, belowe God om jou te red en met die Heilige Gees te vul, Wie van jou ‘n nuwe mens sal maak."
"Ọ̀ǹkọ̀wé kọ̀ọ̀kan kọọ́ pẹ̀lú àrà ọ̀tọ̀ọ̀tọ̀, láti àfojúsùn ọ̀tọ̀ọ̀tọ̀, sí àwọn ènìyàn ọ̀tọ̀ọ̀tọ̀, fún ìdí ọ̀tọ̀ọ̀tọ̀.","Kila mwandishi ako na njia yake ya uandishi tofauti, kutoka kwa mtazamo tofauti, akiandikia kikundi tofauti, kwa lengo tofauti."
Àríyànjiyàn yìí lórí ẹni tí ó jẹ́ ọmọ ìlérí fikún èdè-àìyedè náà lónìí.,Chanzo halisi cha uadui uko ni sawa na asili ya uadui wa hivi  sasa.
"Bí a bá gbà wá là nípasẹ̀ ìgbàgbọ́, ìgbàlà wa náà ni a o tún mú dúró sinsin tí a ó si dáàbòbò nípasẹ̀ ìgbàgbọ́.","Baada ya kuanza kaitka Roho, mnataka kukamilishwa sasa kaitka mwili?” kama tumeokolewa kwa imani, wokovu wetu pia umedumishwa na kulindwa kwa imani."
"Nitori na, Jesu Kristi, eni ti o dese (1 Peteru 2:22), omo Olorun ainipekun si di eniyan (Johannu 1:1,14) o si ku lati ra wa pada lowo iya aye wa, “sugbon Olorun fi ife on papa si wa han ni eyi pe, nigbati awa je elese, Kristi ku fun wa,” (Romu 5:8), Jesu ku fun wa lori igi agbelebu (Johannu 19: 31-42).","Hata hivyo Yesu Kristo, milele Mwana wa Mungu asiyekuwa na dhambi (1 Petro 2:22), alifanyika kuwa mwanadamu (Yohana 1:1,14) na akafa ili kutulipia adhabu yetu."
"A lè tẹ̀lé ìgbésẹ̀ ẹgbẹ̀rún (1000), kò sì ní tó.","Tunaweza fuata hatua 1000, na hazitatosha."
"Ìjọ jẹ́ ara Kristi, èyítí Òun jẹ́ Orí fún.",Mwili wa Kristo uko na sehemu mbili:
"Titu 2;13 so fun wa wipe, ki a duro de igba keji ipadabo Olorun Olugbala- Jesu Kristi (wo 2 Peter 1;1).",Tito 2:13 inatuhimiza kusuburi kurudi kwa Mungu wetu na mwokozi – Yesu kristo (Pia tazama petro wa pili 1:1).
Wọ́n tọ́ka síi wípé àyọrísí ìdájọ́ yìí papọ̀ mọ́ ohun tí a rí lẹ́yìn ìtẹ́ ìdájọ́ funfun ńlá nínú Ifihan 20:11-15.,Hoja kwa pointi kwamba matunda ya hukumu yatakuwa yale yale kwa ile inayoonekana baada ya kiti cheupe cha hukumu katika Ufunuo 20:11-15.
"A lè ṣe èyí lẹ́yìn ọ̀pọ̀lọpọ̀ àdúrà fún ọgbọ́n (Jakọbu 1:5), àti ìbẹ̀lọwẹ̀ àwọn adarí nínú ẹ̀mí.",Hii tu itafanyika baada ya maombi mengi ili tupate hekima (Yakobo 1:5) na kushauriana na uongozi wa kiroho.
"Àwọn àjálù ayé bíi ìpàdánù iṣẹ́, ikú àyànfẹ́, ìkọ̀sílẹ̀ tàbí ìṣòro tí ó jọmọ́ ọpọlọ bíi àṣìlò tàbí àìní-ìgbàgbọ́ nínú ara ẹni  ni ó sábà máa ńfa ìbìnújẹ́ ọkàn.","Majonzi kila mara huletwa na hali ya maisha, kama vile kupoteza kazi, kifo cha mwenzi, talaka au shida ya kimawazo kama vile kudhulumiwa au picha mbaya ya binafsi."
"Bákannáà, òkùnkùn kò sí, o jẹ́ àìsí ìmọ́lẹ̀.","Vile vile, giza haliwepo; ni kutokuwa na mwangaza."
Ìhìnrere náà ni wípé Jésù kú ó sì jí dìde; àwọn tí ńlọ sí ọ̀run ti gba ìhìnrere yìí nípa ìgbàgbọ́.,"Hetsy mens dit sien as bekrompe of ruimhartig, dit is die waarheid, en Christene moet die duidelike, onbesoedelde boodskap dat die enigste weg na die hemel deur Jesus Christus is, handhaaf."
Ẹ̀kọ́ wípé Ọlọ́run kò sí gbà wípé Ọlọ́run kò sí—ipò tí kò lójú.,Ateïsme beweer dat God nie bestaan nie – ‘n onbewysbare stelling.
"Nigbati awon enia ba mon Kristi gege bi olugbala won, won yio si sun mon Olorun ti yi o si fun won ni igbala ayeraye.",Watu wanapomjia Yesu kama mwokozi wana unganishwa katika ushirika na Mungu unaowahakikishia usalama wa milele.
"Àwọn ẹsẹ wọ̀nyìí kò kọ́ wa nípa ìrọ́pò tí Kristi ṣe fún wa nìkan, ṣùgbọ́n wọ́n kọ́ wa wípé Òun gan ni ètùtù, tí ó túmọ̀ sí wípé ó san gbogbo gbèsè tí ó tọ́ sí ẹ̀ṣẹ̀ ènìyàn.","Si kwamba hizi aya zatufunza vile Yesu alikufa badala yetu pekee, pia  zatufunza kwamba alikuwa thabihu, kumaanisha alirithisha deni ya dhambi ya mwanadamu."
"Ṣùgbọ́n, Bíbélì kìí ṣe ìwé ìtàn, ìwé èrò-inú-ọkàn, tàbí ìwé ìmọ̀ sáyẹ́ńsì.","Hata hivyo, Bibilia si kitabu cha historia, kitabu cha saikologia (akili) ama nakala ya kisayansi."
"Wọ́n ń pe ara wọn ní ọlọgbọ̀n, wọ̀n di àṣiwèrè"" (Romu 1:19-22).",Wakijinena kuwa wenye hekima walipumbazika” (Warumi 1:22).
Èyí yóò jọ bí àwọn tọkọtayà ẹ̀yà ọ̀tọ̀tọ̀ ṣe máa ńní àwọn ọmọ tí àwọ̀ wọn yàtọ̀ sí ara wọn.,Hii inaweza kuwa sawa na vile kizazi kina changanyika na kuzaa watoto walio na rangi tofauti.
Kò gbọ́dọ̀ sí ẹnikẹ́ni tí à ngbà níyànjú tàbí fi ipá mú láti ṣe ohun kan tí kò bá òun lára mu tàbí tí ó lérò wípé ó lòdì.,Kusiwe na mtu ambaye ameshawishiwa au kushurutishwa kufanya jambo ambalo hakubaliana nalo au analifikiri ni baya.
"Ní ọ̀nà kańnáà, àwa kò ní rí àwọn esì ìdáhùn sí àdúrà àyààfi bí a bá gbàdúrà.","Kwa njia hiyo hiyo, hatuwezi kuyaona matunda ya maombi yakijibiwa hadi tuombe."
"“ Nitorina, bi enikeni ba wa ninu Kristi, o di eda titán; ohun atijo ti koja lo: kiyesi  i, nwon si di titán ( 1 Korinti 5:17)!","Paulo anatarajia maisha ya kubadilikshwa sawa na yakobo, “Kwa hivyo, mtu akiwa ndani ya Kristo, amekuwa kiumbe kipya; ya kale yamekwisha, tazama yamekuwa mapya” (Wakorintho wa pili 5:17)!"
Kínni ìdí tí ọ̀run-àpáàdì fi ṣe pàtàkì?,Waarom is die hel nodig?
