ha,yo
"amsar mai yiwuwa ne ""eh,"" Duk da haka, wannan ba daidai bane.","ìdáhùn yóò fẹ̀ẹ́ jẹ́ ""bẹ́ẹ̀ni."""
Nisa da nisa zuwa kowane bangare yana haifar da gurbatacciyar fahimtar ceto.,Lílọ síwájú jù ní ọ̀nà méjèjì yó ò yọrí sí dída òye ìgbàlà rú.
Wadanda sunayensu ba sa cikin littafin rai za a yi musu hukunci gwargwadon ayyukansu don tantance irin hukuncin da za a yi musu a cikin tafkin wuta.,Àwọn tí orúkọ wọn kò sí nínú ìwé ìyè yóò gba ìdájọ́ wọn gẹ́gẹ́ bí ìṣe wọn láti mọ̀ bí ìjìyà tí wọn yóò gbà yóò ṣe pọ̀ tó nínú adágún iná.
Suna taimakawa wajen jawo mutane zuwa ga Kristi (Ayukan Manzanni 8:26; 10:3).,"Wọ́n máa ńṣe ìrànlọ́wọ́ nínú ìjèèrè ọkàn fún Kristi (Iṣe àwọn Apọsteli 8:26; 10:3) Wọ́n a máa ṣe àrídájú ìlànà, iṣẹ́ àti ìjìyà Kristiẹni (1 Kọrinti 4:9;11:10, Efesu 3:10; 1 Peteru 1:12)."
Abin da zai iya zama '' daidai '' a gare ku ba yana nufin 'daidai' ne a wurina ba.,"Ohun tí ó lè ""tọ́"" fún ìwọ, kò túmọ̀ wípé ó ""tọ́"" fún èmi."
"Zanen hotunan Romawa, kayan yumɓu na manya da bangayen birnin Babila duk sun shaida ma’amalar al’adar ɗan adam, a labarin ƙasa- waɗancan halittu ba iyaka da ban sha’awa suke, Nitsattsen bayyanai kamar na Marco Polo’s II Milione sun haɗu da tatsuniyoyin almara na dabbobi masu ɓoye dukiya.","Awon akose ti Romu, ati orisirisi fi han wipe awon eranko yi ti wa tipe."
"Ba ya jin tausayin magabtansa, waɗanda zai ci su da yaƙi gabadaya kuma su jefa su cikin “tafkin wuta mai ci da zafin wuta” (aya 20).","Kò ní ní ojú àánú fún àwọn ọ̀tá Rẹ̀, tí yóò borí wọn pátápátá, tí yóò sì sọ sínú ""adágún iná tí ńfi súlfúrù jó""."
Wannan bangare ne mai mahimmanci na bautar kirista.,Ó jẹ́ ètò kan lára Ìjọ́sìn Onígbàgbọ́.
"A bayyane yake, cewa, Littafi Mai-Tsarki ya la'anci luwadi da cewa zunubi ne na lalata da na ɗabi'a.","Ó hàn kedere, bí o tilẹ̀ jẹ wípé, Bíbélì bu ẹnu àtẹ lu ìbálòpọ láàrìn ẹ̀yà ara kannáà gẹgẹ bí ẹṣẹ àìmọ àti ohun tó lòdì sí ìwà ẹdá."
English,English
"Da yawan waɗansu nassoshi suna zancen bangaskiya ta zama abin tilas, kamar su Yahaya 20:27; Ayyukan Manzanni 16:31; Galatiyawa 2:16; 3:11, 26 kuma Afisawa 2:8.","Awon ori iwe miran si soro nipa igbagbo gidi gan, bi Johannu 20;27; Se awon aposteli 16;31, Galatia 2;16,26, ati efesu 2;8."
"A sama, babu sauran ciwo, ciwo, cuta, wahala, ko mutuwa (Wahayin Yahaya 21).","Kì yóò sí ikú mọ́, tàbí ọ̀fọ̀, tàbí ẹkún, bẹ́ẹ̀ni kì yóò sí ìrọra mọ́: nítorípé ohun àtijọ́ ti kọjá lọ."""
"Wata matsala tare da ƙin yarda da cikakkiyar gaskiya/gaskiyar duniya ita ce ta gaza rayuwa har zuwa abin da muka sani gaskiya ne a cikin lamirinmu, abubuwan da muke da su, da abin da muke gani a cikin duniyar gaske.","Ìṣòro míìrán tí ó wà pẹ̀lú sísẹ́ òtítọ́ pátápátá/òtítọ́ àgbáyé ni wípé ó kùnà láti gbé bí ohun tí a mọ̀ láti jẹ́ òtítọ́ nínú ẹ̀rí ọkàn wa, nínú àwọn ìrírí wa, àti ohun tí á ńrí nínú ayé tòótọ́."
Zuwan Kristi na biyu zai zama dawowar Kristi don cika waɗannan annabce-annabcen da suka rage.,Wíwá Kristi lẹ́kèejì máa jẹ́ ìpadàbọ̀ láti mú àwọn ìyókù àṣọtẹ́lẹ̀ náà ṣẹ.
Mutane sun sayar da kansu a matsayin bayi lokacin da suka kasa biyan bashin da suke bi ko kuma biyan bukatun iyalansu.,Àwọn ènìyàn má ńta ara wọn bíi ẹrú bí wọn kò bá lè san gbèsè wọn tàbí pèsè fún ìdílé wọn.
"A cikin nassi na sama, ba kawai ana samun kalmar ""duka"" ana amfani da ita akai-akai ba, amma kuma zamu sami ""duk manyan duwatsu da ke ƙarƙashin sammai duka an rufe su,"" ""ruwan ya tashi ya rufe duwatsu zuwa zurfin sama da ashirin ƙafa ""da"" kowane abu mai rai wanda yake motsi a cikin ƙasa ya halaka.""","omi náà ru sókè ní ìgbọ̀nwọ́ tí ó lé lógún àti "" gbogbo ẹ̀dá tó ń rìn lórí ilẹ̀ sì ṣègbé."""
"Na saba'in da bakwai, tsananin kuma dole ne ya zama lokacin da Allah yayi ma'amala da Isra'ila musamman.","Àádọ́rin àti méje, ìpọ́njú náà, gbọ́dọ̀ jẹ́ ìgbà tí Ọlọ́run ńbá Isrẹli da òwò pọ̀."
"Filibiyawa 4:6-7 ya ce, “Kada ku damu da kome, sai dai a kowane hali ku sanar da Allah bukatunku, ta wurin yin addu'a da roƙo, tare da gode wa Allah.","Filipi 4:6-7 sọ wípé, ""Ẹ máṣe àníyàn ohunkóhun, ṣùgbọ́n nínú ohun gbogbo, nípa àdúrà àti ẹ̀bẹ̀ pẹ̀lú ìdúpẹ́, ẹ máa fi ìbéèrè yín hàn fún Ọlọ́run."
Waɗannan mambobin cocin na duniya ya kamata su nemi zumunci da ingantawa a cikin wata majami'a.,Àwọn ọmọ ẹgbẹ́ ìjọ àgbáyé wọ̀nyìí gbọ́dọ̀ wá ìdàpọ̀ àti ìmúdúró nínú ìjọ agbègbè kan.
Wasu lokuta hanya guda daya tak da za a kiyaye mutane masu laifi daga cutar da marassa laifi ita ce ta zuwa yaki.,Nígbà míìrán ọ̀nà kan ṣoṣo tí a fi le pa àwọn ènìyàn ibi mọ́ kúrò lọ́dọ̀ àwọn aláìṣẹ̀ kí wọ́n má baà ṣe wọ̀n níbi ni kí á lọ sínú ogun.
"1) Miyagun abubuwa na iya faruwa ga mutanen kirki a wannan duniyar, amma wannan duniyar ba ƙarshen bane.","1) Àwọn nǹkan burúkú lè ṣẹlẹ̀ sí àwọn ènìyàn rere nínú ayé yìí, ṣùgbọ́n ayé yìí kọ́ ni òpin."
Ruhanyar nassi yana da haɗari saboda yana motsa tushen cikakkiyar fassara daga nassi zuwa tunanin mai karatu.,Ó léwu kí á máa fi ẹ̀mì tumọ̀ àyọkà nítorí wípé yóò mú ìpìlẹ̀ fún ìtumọ̀ tí ó péye kúrò nínú Ìwé Mímọ́ lọ sí ọkàn ẹni tí ó ńkàá.
"Sa’anda kuma ka dubi Bitrus, zaka sami kalmomin Kiristi gare shi cikin Gonar Gatsemani kafin musun Bitrus.","Ti a ba wo Peteru, a ni oro Olorun pelu re ninu ogba Getsemane ki peteru to se."
A wani lokaci tana umartar Musulmai da su dauki Yahudawa a matsayin 'yan uwan juna kuma a wani lokaci tana umartar Musulmai da su afkawa yahudawan da suka ki Musulunta.,"Kùránì sọ wípé Iṣmaili ni Abráhámù fẹ́ẹ̀ lè fi rúbọ sí Olúwa, wípé kìí ṣe Isaaki (ní àtakò sí Jẹnẹsis orí 22)."
"Idan akwai bayyanannen bayani na littafi mai tsarki game da wannan gaba, to ya koma kan Ibrahim.","Bí àlàyé ti bíbélì kan tí ó yànnàná àìgbọ́ ara ẹni yé yìí, Abráhámù ni a ó tọpasẹ̀ rẹ̀ lọ."
"Me game da masu imani a cikin ranar Kristi, kafin gicciye da tashinsa daga matattu?","Àwọn onígbàgbọ́ tí wọn wà ni ìgba ayé ti Kristi, ṣáájù àkókò àgbélébú àti àjíǹde ńkọ́?"
Koma zuwa shafin gida na Hausa,English
"Bàbá Jésù Kristi Olúwa, Bàbá ìyọ́nú àti Ọlọ́run ìtùnú gbogbo, Ẹnití ńtù wá nínú ní gbogbo wàhálà wa, nípa ìtùnú náà tí a fi ńtù àwa tìkarawa nínú láti ọ̀dọ̀ Ọlọ́run wá.","For just as we share abundantly in the sufferings of Christ, so also our comfort abounds through Christ” (2 Corinthians 1:3–5)."
English,English
Suchaya daga cikin irin wannan nassi shine Afisawa 5:22–33.,Ọ̀kan lára ẹsẹ̀ náà ni Efesu 5:22–33.
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
English,English
"Duk dai, sun sami gafara da sabuwar yalwar rai cikin Ubangiji.","Be naa, won ri idariji ese pelu igbesi aye titán ninu Oluwa."
"Waɗannan sune irin tambayoyin da dole a dube su idan zamu jarraba da tsananin da’awar Littafi Mai Tsarki cewa Littafi Mai Tsarki ce ainihin maganar Allah, hurarre daga wurin Allah, kuma gaba ɗaya ta isa don dukkan al’amuran bangaskiya da aikatawa.","Eyi je awon ohun pataki ti ani lati wo ti a be fe mo n nipa Bibeli wipe o wa lati odo Olorun, lati orun wa, ti o si je gbogbo iranlowo fun igbagbo ati ise."
"Lokacin da Farisawa suka kawo wata mata da aka kama tana aikin zina wurin Yesu suka tambaye shi ko za a jejjefe ta, sai Yesu ya amsa, ""To, marar zunubi a cikinku ya fara jifanta da dutse.” (Yahaya 8:7).","Nígbà tí àwọn Farisí mú obìnrin tí wọ́n gbámú nínú ìṣe àgbèrè lọ sí ọ̀dọ̀ Jésù, tí wọ́n sì bi Í lérè bóyá àwọn lè sọọ́ ní òkúta pa, Jésù sì dáhùn wípé, ""ẹnití ó bá ṣe àìlẹ́ṣẹ̀ nínú nyín, jẹ́ kí o kọ́ sọ òkúta lù ú""(Johannu 8:7)."
"Don taƙaitawa, tsarin zamani shine tsarin ilimin tauhidin wanda yake ƙarfafa fassarar ainihin annabcin Littafi Mai-Tsarki, ya yarda da bambanci tsakanin Isra'ila da coci, kuma ya tsara Littafi Mai Tsarki a cikin zamani ko mulki daban-daban.","Ní akótán, ẹ̀kọ́ nípa bíi Ọlọ́run ṣe ńfi ara Rẹ̀ hàn ní sáà kọ̀ọ̀kan jẹ́ ètò ẹ̀ka nípa Ọlọ́run tí ó tẹnumọ́ wípé ìtumọ̀ àwọn àsọtẹ́lẹ̀ Bíbélì jẹ́ ọ̀rọ̀ fún ọ̀rọ, tí ó dá ìyàtọ̀ tó wà láàrin Ísírẹ́lì àti Ìjọ mọ̀, àti tí ó to Bíbélì sí sáà tàbí ètò ìṣàkóso ọ̀tọ̀ọ̀tọ̀."
Preterism yana koyar da cewa Doka ta cika a A.D. 70 kuma alkawarin Allah da Isra'ila ya ƙare.,Ẹ̀kọ́ ìwò wípé a ti mú àwọn àkọsílẹ̀ nípa òpin ayé ṣẹ ńkọ́ni wípé a ti mú Òfin ṣẹ ní AD 70 ti májẹmú Ọlọ́run pẹlú Isrẹli sì ti dópin.
"rikitarwa da aka ƙayyade shi ne ra'ayi cewa, tunda ana iya samun takaddun sifofi a cikin ƙwayoyin halitta, wasu nau'ikan jagora dole ne a yi bayanin asalin su.","Àkójọpọ̀ tí ó nira ní pàtó ni èrò wípé nígbàtí àgbékalẹ̀ àkójọpọ̀ tí ó nira pàtó wà nínú ẹ̀dá, nítorí àwọn ìtọ́ni kan ni yóò ṣiṣẹ́ fún orísun wọn."
"A lokaci guda, yana ɗaukar imani kamar yadda yakamata a yi imani da rashin yarda da Allah.","Ní àkókò kan náà, ó ńgba ìgbàgbọ́ púpọ̀ bakan náà láti gbàgbọ́ nínú wípé Ọlọ̀run kò sí."
Kursiyin shari'a na Kristi baya tantance ceto; abin da aka ƙaddara ta hadayar Kristi a madadinmu (1 Yahaya 2:2) da kuma bangaskiyarmu gare Shi (Yahaya 3:16).,Ìtẹ́ ìdájọ́ Kristi kò ṣe ìpinnu ìgbàlà; ìrúbọ Kristi ló pinnu ìyẹn fún wa (1 Johannu 2:2) àti ìgbàgbọ́ wa nínú Rẹ̀ (Johannu 3:16).
Biyayyarmu ga Allah da kuma Kalmarsa suna shirya mu don cika matsayin da Allah ya ba mu a cikin aure da kuma duniya.,Ìgbọ́ràn wa sí Ọlọ́run àti sí Ọ̀rọ̀ Rẹ̀ ńró wa lágbára láti lè mù àwọn ojúṣe tí Ọlọ́run là kalẹ̀ nínú ìgbeyàwó àti nínù ayé ṣẹ.
"Duk da cewa waɗannan Nassosi ba batun motsa jiki bane, gaskiyar cewa Bulus yayi amfani da kalmomin motsa jiki don koya mana gaskiyar ruhaniya yana nuna cewa Bulus ya kalli motsa jiki, har ma da gasa, a hanya mai kyau.","Nígbà kanná, Bíbélì ṣe ìkìlọ̀ nípa asán (1 Samuẹli 16:7; Òwe 31:30; 1 Peteru 3:3-4)."
"Wani mahimmin mahimmanci shine cewa manufar Littafi Mai Tsraki shine nuna hanyar samun ceto, ba don gyara al'umma ba.","Kókó míìrán tí ó ṣe pàtàkì ni wípé èrèdí Bíbélì ni láti júwe ọ̀nà ìgbàlà, kìí ṣe láti tún àwùjọ ṣe."
"Ka gafarta mana laifofinmu, Kamar yadda mu ma muke gafarta wa waɗanda suke yi mana laifi.","Dari gbese wa ji wa, bi awa ti ndariji awọn onigbese wa."
Wannan na nuna cewa Yesu bai ɗauki Kansa da zaman Uban ko kuma Ruhu Mai Tsarki ba.,Eyi fi han wipe Jesu ko so wipe ohun ni Baba tabi Emi Mimo.
"Duk da haka, kalmar yaren Hellenawa da aka juya “rashin aminci na aure” ta zama kalma wanda ma’anarta kan iya zama da kowanne siffa na zunubin fasiƙanci.","Sugbon, gbolohun Greki naa “agbere ninu igbeyawo” le je oro miran."
Mene ne muhimmancin waɗannan abubuwa?,Kilo de ti eyi se je be?
Na juyo daga zunubaina kuma na sa amincewa tawa a cikinka don ceto.,"Pelu iranlowo re, mo ko ese mi sile, mo si ireti mi sinu re fun igbala."
"Bugu da ƙari kuma, Markus 8:31 ya ce za a ta da Yesu “bayan” kwana uku.","Síwájú síi, Marku 8:31 sọ wípé Jésù yóò jíǹde ""lẹ́yìn"" ọjọ́ mẹ́ta."
Kirista na gaskiya shine mutum wanda ya sa bangaskiyarsa ko bangaskiyarta da amince cikin mtuntakar Yesu Kiristi kuma babu shakka cewa ya mutu bisa gicciye a biyarwar zunubai da tashin daga matattu kuma a rana ta uku da ya sami nasara kan mutuwa da kuma bayar da rai madawwami ga duk wanda ya gaskata da shi.,"Kristiani gidi je enia ti o fi igbagbo ati ireti re si inu Jesu Kristi ti o si mo n wipe o ku lori igi agbelebu lati rawapada lowo ese, ti o si jinde ni ojo keta lati gbako so lori iku, ki o si fun wa ni iye ainipekun ni fun awon ti o ni igbagbo ninu re."
"Ƙamus na Webster ta bada ma’anar Kirista da kamar”mutum mai sa bangaskiya cikin Yesu a matsayin Kiristi ko cikin addini mai asali akan koyarwar Yesu.” Sa’anda wannan ya zama wurin farawa mai kyau cikin ganewa da abin da Kirista yake, kamar yawancin ma’anonin zaman duniya, ta faɗi gajeruwa kaɗan da ainihin sadarwar Littafi Mai Tsarki na abin da ake nufi da zaman Kirsita.","Iwe awon onitumo ti Webster so nipa kristiani “Enia ti o gbagbo ninu Jesu gege bi Kristi tabi nipa esin kiko Jesu.” Gege bi eyi se je igbese rere lati ni oye nipa kristiani, gege bi awon elomi ran si ti tumo re, o je ge bi ohun ti ko so idi naa dada nipa nipa otito bibeli lati le mo itumo kristiani."
Labaran su na Tsohon Alkawari suna ba da shaidar albarkar zaɓar bangaskiya akan tsoro.,Àkọsílẹ̀ ìgbé-ayé wọ́n ńjẹ̀rí sí ìgbàgbọ̀ àti Ọlọ́run àti òtítọ́.
"Babu wani, ko dai kafin gicciye ko tun lokacin da aka gicciye, da zai taɓa samun ceto ba tare da wannan muhimmin abin a tarihin duniya ba.","Kò sí ẹnìkan, yálà ṣáájú àgbélèbú tàbí láti ìgbà àgbélèbú, tí a ó le gbàlà láì sí ìṣẹ̀lẹ̀ gbòógì yẹn nínú ìtàn ayé."
"Ra'ayi na huɗu, wanda aka fi sani da pre-fushin, shine ɗan ƙaramin gyare-gyare na matsakaicin matsin lamba.","Àfojúsùn kẹrin, tí ọ̀pọ̀lọpọ̀ ńpè ní ìgbàsókè tí yóò ṣẹlẹ̀ ṣáájú ìbínú, ó jẹ́ àyípadà bíntí lórí ti ìgbàsókè yóò ṣẹlẹ̀ láàrin ìpọ́njú."
Wannan ne Kiristanci na gaskiya bisa Littafi Mai Tsarki.,Eyi ni otito bibeli kristiani.
Rashin yarda da Allah shine ra'ayin cewa babu Allah.,Ìwò wípé kò sí Ọlọ́run jẹ́ ìwò wípé Ọlọ́run kò sí.
"A bayyane yake, Kiristoci sun yi imani da ƙarfi cewa akwai Allah, kuma sun yarda cewa wanzuwar Allah lamari ne na imani.","Ó hàn gbangba, wípé àwọn Kristiẹni gbàgbọ́ gan an wípé Ọlọ̀run wà, àti wípé wọn gbà wípé wíwà Ọlọ́run jẹ́ ọ̀rọ̀ ìgbàgbọ́."
"Sun kuma nemi matsa lamba kan masu imani don canzawa da karɓar waɗannan addinan ""Kiristanci da ƙari"".","Wọ́n tún fẹ́ ríi pé àwọn dúró lé àwọn onígbàgbọ́ lọ́rùn láti yípadà kí wọ́n síì gba ẹ̀sìn ""Àfikún ìgbàgbọ́"" wọ̀nyìí."
Ka'idar ɗan adam ta faɗi cewa duniya da sararin samaniya suna 'dacewa' don ba da damar rayuwa a duniya.,"Ìlànà áńtírópíkì sọ wípé a ṣe ""atúnṣe"" ayé àti àgbáyé kí ó ba lè fi àyè gba ẹ̀mí láyè nílé ayé."
English,English
Akwai matayen da sun gaskata cewa kar mataye su yi hidima a matsayin fastoci kuma cewa Littafi Mai Tsarki tasa abubuwan taƙurawa kan ma’aikatar mata- kuma akwai mazajen da sun gaskata cewa mataye  zasu iya yin hidima a matsayin masu wa’azi da kuma cewa babu abubuwan taƙurawa kan mataye cikin ma’aikata.,"Awon obinrin miran gbagbo wipe ko ye ki obinrin je iranse, o si wa ninu bibeli- Awon okinrin miran si gbagbo wipe ara binrin le je iranse ninu ijosin ko si si ohun ti o da won duro."
Dukanmu mun ƙazantu da kamuwa da zunubi (Mai-Wa'azi 7:20; Romawa 3:23; 1 Yahaya 1:8).,"Gbogbo wa ni o ní àbàwọ́n nípasẹ̀ ẹ̀ṣẹ̀ tí ò sí ni ìkọlù pẹ̀lú (Ìwé Oníwàásù; Romu 3:23; 1 Johannu 1:8) Bí Jésù ṣe sọ, ""Ẹni rere kan kò sí—àfi Ọlọ́run nìkan"" (Luku 18:19)."
Koma zuwa shafin gida na Hausa,Pada si oju ewe Yorùbá
(1 Yahaya 5:14-15).,"Àyààfi bí Olúwa bá padà, gbogbo ènìyàn tó wà láyé lónìí ni yóo kú, àti ọ̀pọ̀lọpọ̀ wọn (pẹ̀lú àwọn Kristiẹni) ni yóo kú gẹ́gẹ́ bí àyọrísí ìṣoro ara (àrùn, àìsàn, ọgbẹ́)."
"A tsarin rayuwar mutum, an tsara maza da mata a bayyane don su dace da jima'i.","Nínú ìṣẹdá/ti ara, ó hàn kedere, wípé àwọn ọkùnrin àti àwọn obìnrin ni a ṣẹ̀dá láti ''wà ní ìbámu'' papọ̀ ní ti ìbálòpọ."
Shin tana dogaro ga Kristi shi kadai don ceto?,Ǹjẹ́ òun ńgbẹ́kẹ̀lé Kristi nìkanṣoṣo fún ìgbàlà?
Ignatius na Antakiya ya yarda da littattafai bakwai (A.D. 115).,Iginatu ti Antioku mọ bíi ìwé méje (ní ọdún 115 lẹ́yìn ikú Kristi).
Nassoshin Littafi Mai Tsarki da yawa sun furta wannan gaskiya.,Ihase Olorun ti ndare.
"Ga Sabon Alkawari, tsarin amincewa da tarawa ya fara a ƙarnin farko na cocin Kirista.","Fún Májẹ̀mú Titun, ètò ìfihàn àti ìgbájọ bẹ̀rẹ̀ ní ọgọ́rún ọdún àkọ́kọ́ ti Ìjọ Onígbàgbọ́."
Ayukan Manzanni 16:16-18 sun bayyana wani boka wanda ya iya hango abin da zai faru a gaba har sai manzo Bulus ya tsawata wa aljani daga cikin ta.,Iṣe àwọn Apọsteli 16:16-18 ṣe àpèjúwe aláfọ̀ṣẹ kan ẹnití ó lè sọ nípa ọjọ́ iwájú kí apọsteli Pọ́ọ̀lù tó lé ẹ̀mí èṣù inú rẹ̀ jáde.
"Yana nan can, daidai yanda nayi kwatance, amma abu ne wanda akan zaɓa kamar ɗanɗanon ruwan ƙanƙara na afarari da aka fi so?","O nbe, bi mo se so, sugbon se esin je gege bi ohun orisirisi si bi onje ti a feran lati je?"
Kusan kowane littafi na Littafi Mai Tsarki yana dauke da annabci game da karshen zamani.,Gbogbo ìwé inú Bíbélì ló fẹ́ẹ̀ sọ àṣọtẹ́lẹ̀ nípa òpin ayé.
"Annabcin yana da cikakken bayani, kuma gicciyen ya faru kamar yadda aka annabta.",Àsọtẹ́lẹ̀ nàá jẹ́ ẹ̀kúnrẹ́rẹ́ tó bẹ́ẹ̀ gẹ́ tí kíkànmọ́ àgbélèbú náà rí gẹ́gẹ́ bí a ti sọ.
Mutuwar da aka ambata a nan tana nufin rayuwar jahannama.,Ikú tí à ńsọ níbí ni ayé ní ọ̀run àpáàdì.
"Ibraniyawa 4:12 yace, “Domin Maganar Allah rayayyiya ce, mai ƙarfin aiki, ta fi kowane irin takobi kaifi, har tana ratsa rai da ruhu, da kuma gaɓoɓi, har ya zuwa cikin ɓargo, tana kuma iya rarrabe tunanin zuciya da manufarta.” Yayinda aka kammala Littafi Mai Tsarki kusan shekaru 1900 da suka wuce, daidaito da dacewarsa zuwa yau basu canza ba.","Nígbàtí a parí Bíbélì ní bíi ọdún ẹgbàádínlọ́gọ́rùún (1900) sẹ́yìn, ìṣedéédé àti wíwólò rẹ̀ fún òní kò yàtọ̀."
3,3
"Misalan sun hada da bautar ko Ba'al (Alƙalawa 6; 1 Sarakuna 18), Dagon (1 Sama'ila 5), da Molek (2 Sarakuna 23:10).","Àwọn àpẹẹrẹ ni ìforíbalẹ̀ fún Báálì (Onidajọ 6; 1 Awọn Ọba 18), Drágónì (1 Samueli 5), ati Mólèsì (2 Awọn Ọba 23:10)."
"Bari mu maimaita kalmomin Manzo Bulus a cikin Romawa 7:24-25, “Kaitona!","Ṣé a lè tún ọ̀rọ̀ Àpọ́stélì Pọ́ọ̀lù nínú ìwé Rómù 7:24-25 sọ, ""Èmi ẹni òṣì!"
Littafi Mai-Tsarki yayi bayani dalla-dalla game da abin da ya kamata manufar rayuwarmu ta kasance.,Bíbélì fihàn kedere ohun tí èrèdí ìgbé-ayé yẹ kí ó jẹ́.
"Wanda ba shi da Ɗan Allah kuwa, ba shi da rai.","Ẹnití ó bá ni Ọmọ, ó ní ìyè; ẹnití kò bá sì ní Ọmọ Ọlọ́run, kò ní ìyè."
Kiristoci suna cikin wani yanayi mai kama.,Kristiẹni wà ní irú ipò yìí.
"Romawa 8:1 tana koyar mana,”Saboda haka yanzu ba sauran kayarwa ga waɗanda ke na Almasihu Yesu.” Saboda mutuwar Yesu a madadinmu, ba za a taɓa kayar da mu don zunubanmu ba.","Romu 8;1 ko wa wipe, “Nje ebi ko si nisisiyi fun awon ti o wa ninu Kristi Jesu.”Nitori iku Jesu nipa wa, awa ko ni ebi fun ese."
(Ibraniyawa 13:15).,"Ǹjẹ́ nípasẹ rẹ̀, ẹ jẹ́ kí á máa rúbọ ìyìn sí Ọlọ́run nígbàgbogbo, èyínì ni èso ètè wa, tí ńjẹ́wọ́ orúkọ rẹ̀ (Heberu 13:15)."
"Yesu ya mutu dominmu a bisa giccye:” Domin Almasihu ma ya mutu sau ɗaya tak ba kari, domin kawar da zunubanmu, mai adalci saboda marasa adalci, domin ya kai mu ga Allah” (1 Bitrus 3:18).","Jesu ku fun wa lori igi agbelebu; “Nitori ti Kristi ese wa dopin, nitori ese wa oloto ku fun awon alaisoto, ki o le mu wa de odo Olorun” ( 1 Peeteru 3;18)."
"Zamanin mulkin mallaka yana da banbanci na farko guda biyu: 1) fassarar nassi kai tsaye, musamman annabcin littafi mai Tsarki, da kuma 2) hangen nesa game da keɓancewar Isra'ila da keɓewa da coci a cikin shirin Allah.","Ẹ̀kọ́ nípa bíi Ọlọ́run ṣe ńfi ara Rẹ̀ hàn ní sáà kọ̀ọ̀kan ní ìyàtọ̀ méjì tó gbilẹ̀: 1) ìtumọ̀ ìwé mímọ́ lọ́nà tó wà lẹ́sẹẹsẹ, ní pàtàkì àsọtẹ́lẹ̀ Bíbélì, àti 2) àfojúsùn pé Isrẹli yàtọ̀ sí ìjọ nínú ètò Ọlọ́run."
"Littafi Mai Tsarki yayi da'awar cewa ba kawai Allah ya yi wahayi zuwa gare shi ba, amma har ma yana da ikon allahntaka ya canza mu kuma yasa mu ""kammala"" Me kuma za mu buƙata?","Bíbélì kò gbà wípé òun ni ìmísí Ọlọ́run nìkan, ṣùgbọ́n ó tún ní agbára tó tayọ láti yí wa padà kí ó sì sọ wá di ""pípé."""
Wannan al’amari mai wuya ga alama zata sami amsa ta wurin gwajin abin da ke daidai Yakubu ke magana a kai.,Eyi je ki awo ohun ti Jakobu n so.
3) Zamu iya ceton duniya ta hanyar ilimin halittu da kiyaye muhalli.,3) A lè pa ayé mọ́ nípa ẹ̀kọ́ nǹkan nípa ìṣẹ̀dá àtí nípa kí a má ṣe pa nǹkan ìṣẹ̀dá run.
Amsa,Idahun
"A musayar, Allah ya ɗauki adalcin Kristi ga masu bi kuma ya lasafta asusunmu da adalcinsa, kamar yadda ya lasafta zunubanmu ga lissafin Kristi (2 Korantiyawa 5:21).","Ṣùgbọ́n, àwọn onígbàgbọ́ ti bọ́ lọ́wọ́ ìparun ẹ̀ṣẹ̀ ayérayé-ọ̀run àpáàdì àti ikú ẹ̀mí-ṣùgbọ́n nísisìnyí a ní agbára pẹ̀lú láti d'ojúkọ dídá ẹ̀ṣẹ̀."
"Romawa 12:2 tan gaya mana, “ Kada ku biye wa zamanin nan, amma ku bar halin ku ya sake ta wurin sabunta hankalin ku ɗungum, don tabbtar da abin da Allah ke so, wato nufin sa kyakyawa, abin karɓa, cikakke kuma.”","Romu 12;2 so wipe, ‘ki e ma si da ara nyin po mo aiye yi; sugbon ki e parada lati di titun ni iro-inu nyin."
"Tsarin hadaya na Tsohon Alkawari bai kawar da zunubi ba, kamar yadda Ibraniyawa 10:1-10 ya koyar karara.","Ètò ìrúbọ Májẹ̀mú Láíláí kò mú ẹ̀ṣẹ̀ lọ, bí Heberu 10:1-10 ti kọ́ni kedere."
"A kursiyin shari'a na Kristi, waɗannan masu imani za a basu lada saboda kyawawan ayyuka da hidimtawa cikin aminci lokacin da suke duniya ko kuma za su rasa lada, amma ba rai madawwami ba, saboda rashin sabis da biyayya (1 Korantiyawa 3:11-15; 2 Korantiyawa 5:10).","Ní ìtẹ́ ìdájọ́ Kristi, àwọn onígbàgbọ̀ yìí yóò gba èrè iṣẹ́ rere ati ìjọ́sìn tòtọ́ọ́ nígbà tí wọn wà láyé tàbí kí wọ́n sọ èrè wọn nù, ṣùgbọ́n wọn kò ní pàdánù ìyè àìnípẹ́kun, nítorí àìní iṣẹ́ ẹ̀sìn àti ìgbọràn (1 Kọrinti 3;11-15; 2 Kọrinti 5:10)."
"Idan wani ya gaskata cewa Kiristi ya mutu a madadin sa kuma ya biya farashin zunuban sa, kuma ya sake tashi, sa’anan mutumin ya sami ceto.Ba wani abin da wani zai iya yi ya sami ladan ceto.","Ti enikeni ba gbagbo wipe Kristi ku fun lati san gbese ese re, o si jinde, eni naa yio ri igbala."
